trend;Скорость реагирования;place_total_fail;place_total_letters;link_numbers;severity;google_rating;place_id;name;place_fail_rel_size;site;rating
1.0;;40.0;26.0;;0.9888888888888888;4.5;ChIJQYUyxRoytUYRqAFjjZsf-5E;Ципла Лимитед;0.4230769230769231;http://www.apteka385.ru/;0.503988603988604
0.0;;1.0;14.0;;0.6666666666666666;;ChIJQf5hJFtNtUYRRRt5ETR73jo;Роттафарм С.п.А.;0.125;http://www.dona.rotta.ru/;0.4305555555555555
0.0;;1.0;54.0;781.0;1.0;;ChIJRyy2-nxKtUYRr2meqfHJvpw;Эргофарм ООО;0.005780346820809247;http://www.vidal.ru/;0.5019267822736031
0.0;275.0;2.0;11.0;11.0;0.2222222222222222;;ChIJSRbiKDRKtUYRRtY1V-KXgmg;Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд);0.02083333333333333;http://www.jbcpl.ru/;0.2476851851851852
-1.0;;4.0;146.0;10.0;1.0;;ChIJSXH0pC1KtUYR2rrLQr9T7jo;Эллара МЦ ООО;0.01834862385321101;http://www.ellara.ru/;0.5061162079510703
0.0;183.0;2.0;1222.0;241.0;0.4444444444444444;4.9;ChIJSefogZhLtUYRt0-leiY5nVo;Такеда Фармасьютикал Компани Лимитед;0.007692307692307694;http://www.takeda.com.ru/;0.15737891737891732
-1.0;;6.0;73.0;79.0;1.0;4.5;ChIJT6OYP5-0SkERYlHyYw8YBHM;Лек д.д.;0.017241379310344827;http://www.zdorov.ru/;0.3724137931034483
0.0;76.0;3.0;16.0;695.0;0.8888888888888888;5.0;ChIJT7_H2zxItUYR1N1ini-eKuY;Эбботт Хелскеа САС;0.006896551724137931;http://www.abbott-russia.ru/;0.2985951468710089
0.0;;1.0;13.0;37.0;0.6666666666666666;;ChIJT7_H2zxItUYRdRNdSWE6NK4;Бакстер Хелскэа Корпорейшн;0.02127659574468085;http://www.baxter.com.ru/;0.3959810874704491
0.0;;1.0;2.0;;1.0;5.0;ChIJTeJ8fHlJtUYR-UM8L-_p3Ns;"Общество с ограниченной ответственностью ""СЭЛВИМ"" (ООО ""СЭЛВИМ"")";0.1;http://www.salvim.ru/;0.3666666666666667
0.0;140.0;3.0;4.0;107.0;1.0;0.9999999999999998;ChIJTfcbH01MtUYRR_Ii6n44Lcs;Бионорика АГ;0.06896551724137931;http://www.bionorica.ru/;0.6229885057471264
0.0;;1.0;2.0;47.0;0.6666666666666666;;ChIJV-nmvmdLtUYR-o19kBcw-xk;"ООО ""Фарм-Синтез""";0.25;http://pharm-sintez.ru/;0.4722222222222222
0.0;;12.0;40.0;781.0;1.0;0.9999999999999998;ChIJW-VRVBNMtUYRIdc5aVQzaWg;БЕЛУПО, лекарства и косметика д.д.;0.08571428571428573;https://www.vidal.ru/drugs/company/193;0.6285714285714286
1.0;50.0;90.0;454.0;11.0;0.9407407407407408;4.7;ChIJWzVIbI85tUYRlTbKa0ve3tE;Синтез ОАО;0.1574074074074074;http://www.toshim.ru/;0.3860493827160494
-1.0;;44.0;601.0;;1.0;;ChIJXUmmUi61SkERHF9ERMCNavk;Йодные технологии и маркетинг ООО;1.0;http://www.itimc.ru/;0.8333333333333334
0.0;;3.0;3.0;80.0;1.0;5.0;ChIJXzhChTxItUYRrZLAAkdQf_c;Берингер Ингельхейм Интернешнл ГмбХ;0.007092198581560284;https://www.boehringer-ingelheim.ru/;0.33569739952718675
0.0;;6.0;88.0;622.0;0.6296296296296297;;ChIJY5alyXk2tUYRlxyBZb2_pAM;Ранбакси Лабораториз Лтд;0.016666666666666666;http://www.sunpharma.com/russia;0.3820987654320988
1.0;223.5;27.0;337.0;124.0;0.9135802469135802;5.0;ChIJY83Q7CrTSkER4MHnT6ofxlc;Щелковский витаминный завод ОАО;0.006382978723404255;http://www.valentapharm.com/;0.30665440854566145
0.0;;2.0;51.0;36.0;0.8333333333333334;5.0;ChIJY8up48xItUYRcbCjYoGqLTk;"Открытое акционерное общество ""АВВА РУС"" (ОАО ""АВВА РУС"")";0.010256410256410256;http://www.avva-rus.ru/;0.2811965811965812
1.0;199.0;21.0;135.0;54.0;0.8994708994708994;;ChIJYTwhVBNMtUYRXUge9SXJ8vo;Обновление ПФК ЗАО;0.2;http://aquamaris.ru/;0.5331569664902999
0.0;;1.0;8.0;27.0;1.0;;ChIJYzPv99tLtUYRalBsxwU0Yuo;ЮСВ Фарма СА;0.01282051282051282;http://ucbrussia.ru/;0.5042735042735043
0.0;75.33333333333333;3.0;5.0;;0.5185185185185186;5.0;ChIJZ9LB395LtUYRM-zk3WKovNY;"Закрытое акционерное общество ""ГЕНЕРИУМ"" (ЗАО ""ГЕНЕРИУМ"")";0.08333333333333333;http://generiumzao.ru/;0.2006172839506173
