Производитель;Тренд;Нарушения экспертно;Тяжесть нарушения экспертно;Изъятие из обращения;Приостановлена реализация;Разрешен;Скорость реагирования;Тяжесть нарушения;Наименование товара;place_total_fail;lat;long;place_id;google_name;google_rating;site;reviews;world_rank;country_rank;link_numbers;place_was_nullated;place_no_end;place_time;place_size;Юридическое лицо, на имя которого выдано регистрационное удостоверение;place_fail_rel_size;Иностранцы;Россия;контрафактное ЛС;недоброкачественное ЛС;незарегистрированное ЛС;оригинальное ЛС;сомнительное ЛС;фальсифицированное ЛС;Партия;Брак поставщика (подтвержден);Брак производителя (изъятие без уничтожения);Брак производителя (партия);Брак производителя (территория);Брак производителя Россия;Изменение;Изъятие;Изъятие незарегистрированного ЛС;Изъятие по неподтвержденной декларации;Контрафакт;Незаконный ввоз;О переводе на предварительный контроль;Отзыв;Отзыв деклараций о соответствии;Отзыв производителем;Отзыв производителем (Ф/С);Отзыв производителем партии;Ошибка репортера;Прекращение обращения;Приостановление;Приостановление реализации;Разрешение (партия);Разрешение (серия);Разрешение реализации;Фальсификация;Фальсификация (изъятие по признакам);Фальсификация полное изъятие;Фальсификация приостановление;place_total_letters;Итоговый рейтинг
К.О.Ромфарм Компани С.р.Л.;0.0;;0.0;1.0;0.0;0.0;;1.0;1;1.0;55.72644329999999;37.3993873;ChIJ30Hy2PtOtUYRwCnaSntJXBw;РОМФАРМА;;http://www.romfarma.ru/;[];;;;1.0;0.3384920634920635;1826.4128205128204;67.0;К.О.Ромфарм Компани С.р.Л.;0.014925373134328358;1.0;0.0;0.0;0.3809523809523809;0.0;0.0;0.6190476190476191;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.09523809523809523;0.0;0.14285714285714285;0.0;0.14285714285714285;21.0;0.5049751243781094
КРКА, д.д., Ново место;0.0;Упаковка.;4.0;0.0;1.0;0.0;;1.0;1;2.0;55.8405754;37.493771;ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА;0.4;http://fypryst.ru/;[['Подарили бракованные весы фирмы Редмонд на новый год за хорошую работу в качестве презентацию я отнесла их в фирменный сервисный центр где установили производственный брак однако на основании акта мне не не хотят их обменять на новый товар .помогите', 1, 1485355205], ['', 5, 1498335415]];;;;0.8751758181328159;0.5453534468773137;1750.051282051282;542.0;КРКА, д.д., Ново место, Словения;0.0018450184501845018;1.0;0.0;0.0;0.9636363636363636;0.0;0.0;0.03636363636363636;0.0;0.0;0.0;0.0;0.0;0.2363636363636364;0.01818181818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054545454545454536;0.0;0.4727272727272727;0.0;0.0;0.0;0.03636363636363636;0.12727272727272726;0.01818181818181818;0.0;0.0;0.0;0.0;0.01818181818181818;0.0;0.01818181818181818;55.0;0.46728167281672817
ГлаксоСмитКляйн Фармасьютикалз С.А.;0.0;;0.0;0.5;0.5;0.0;;1.0;2;2.0;55.7465042;37.5363048;ChIJ3aIdmd1LtUYRF1J66aN6108;ГЛАКСОСМИТКЛЯЙН ХЕЛСКЕР;;http://ru.gsk.com/;[];31917.0;5554.0;5444.0;0.8885780885780886;0.934430610040366;1826.3214285714284;146.0;Нордик Фарма с.р.о.;0.0136986301369863;1.0;0.0;0.0;0.7446808510638298;0.0;0.0;0.2553191489361702;0.0;0.0;0.0;0.0;0.0;0.3617021276595745;0.02127659574468085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1276595744680851;0.0;0.02127659574468085;0.0;0.02127659574468085;0.0;0.06382978723404255;0.02127659574468085;0.10638297872340426;0.0;0.0;0.0;0.02127659574468085;0.0425531914893617;0.10638297872340426;0.0851063829787234;47.0;0.5045662100456622
АстраЗенека АБ;0.0;Маркировка.;4.0;1.0;0.0;0.0;;1.0;2;2.0;55.7013235;37.57731669999999;ChIJ4w5Mw8bU3UMRTRqwLhVueGA;Astra Zeneca;;http://www.astrazeneca.ru/;[];2490264.0;219718.0;171.0;0.9644444444444444;0.7122222222222222;1819.369047619048;140.0;АстраЗенека ЮК Лтд;0.014285714285714285;1.0;0.0;0.3064516129032258;0.25806451612903225;0.016129032258064516;0.0;0.3870967741935484;0.03225806451612903;0.12903225806451613;0.0;0.0;0.0;0.016129032258064516;0.0;0.016129032258064516;0.4354838709677419;0.0;0.0;0.14516129032258066;0.0;0.0;0.03225806451612903;0.0;0.0;0.0;0.0;0.0;0.0;0.03225806451612903;0.03225806451612903;0.0;0.016129032258064516;0.016129032258064516;0.0;0.0;0.016129032258064516;0.2419354838709677;62.0;0.5047619047619047
Эли Лилли энд Компани;0.0;Маркировка.;4.0;1.0;0.0;0.0;;1.0;2;2.0;55.747006000000006;37.53692999999999;ChIJ4xjzpN1LtUYR0ZlLBxiSWAc;Эли Лилли Восток С.А.;;http://www.lilly.com/;[];75979.0;18555.0;2270.0;0.5727272727272728;0.15757575757575756;1826.2428571428568;71.0;Эли Лилли энд Компани Лимитед;0.028169014084507043;1.0;0.0;0.0;0.5;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;8.0;0.5093896713615024
Берлин-Хеми/Менарини Фарма ГмбХ/пр.Берлин-Хеми АГ;0.0;;0.0;1.0;0.0;0.0;;1.0;1;1.0;55.7470082;37.5368107;ChIJ4xjzpN1LtUYR7rOz674wlMY;Берлин-Хеми/А. Менарини;;http://mezimforte.ru/;[];1972289.0;88619.0;26.0;0.971229293809939;0.6342744729841504;1779.4509803921567;81.0;"Общество с ограниченной ответственностью ""Берлин-Хеми/А. Менарини""";0.012345679012345678;1.0;0.0;0.01694915254237288;0.5423728813559322;0.0;0.00847457627118644;0.4322033898305085;0.0;0.0;0.0;0.01694915254237288;0.0;0.06779661016949153;0.00847457627118644;0.0;0.03389830508474576;0.0;0.0;0.025423728813559324;0.0;0.0;0.01694915254237288;0.0;0.3983050847457627;0.0;0.0;0.0;0.0;0.03389830508474576;0.00847457627118644;0.0;0.03389830508474576;0.0;0.07627118644067797;0.03389830508474576;0.1271186440677966;0.11864406779661014;118.0;0.5041152263374485
АстраЗенека ЮК Лтд/вт уп ЗиО-Здоровье ЗАО;0.0;;0.0;0.5;0.5;0.0;;0.5;2;4.0;55.4107098;37.57964139999999;ChIJ4zYSmhOoSkERS3QWboOmrZg;Зио Здоровье;0.4;http://www.zio-zdorovie.ru/;[['Современное фармацевтическое предпритие.', 5, 1516470905], ['', 2, 1508212131], ['', 2, 1361328665]];3299070.0;403631.0;26.0;0.9285714285714286;0.6882352941176471;1826.333333333333;66.0;ЗиО-Здоровье ЗАО;0.030303030303030304;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.3101010101010101
Бофур Ипсен Фарма/пр.Бофур Ипсен Индастри;0.0;;0.0;0.0;1.0;1.0;385.0;0.4;2;4.0;55.74012800000001;37.6635774;ChIJ5XVxn8JKtUYRczn69jOkjv4;Ипсен Фарма;;https://www.ipsen.ru/%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D1%8B/;[];5243549.0;440270.0;67.0;1.0;0.6458333333333334;1782.4375;56.0;Ипсен Фарма;0.03571428571428571;1.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.4545454545454545;0.0;0.0;0.0;0.030303030303030307;0.0;0.24242424242424246;0.030303030303030307;0.0;0.0;0.0;0.0;0.18181818181818185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12121212121212123;0.0;0.0;0.12121212121212123;0.12121212121212123;0.030303030303030307;0.060606060606060615;0.060606060606060615;33.0;0.3119047619047619
Славянская Аптека ООО;-1.0;;0.0;0.8421052631578947;0.15789473684210525;0.0;;0.968421052631579;2;19.0;55.740291000000006;37.828729;ChIJ5yzpDWHKSkERIxXsUvrW6Fw;Мицар-Н;;http://mitsar-n.ru/;[];6256316.0;321149.0;39.0;1.0;0.4;1826.0;5.0;Славянская аптека ООО;0.4;0.0;1.0;0.0;0.96875;0.0;0.03125;0.0;0.0;0.0;0.0;0.0234375;0.0;0.1484375;0.703125;0.0;0.0078125;0.0;0.0;0.0;0.0;0.0;0.03125;0.0;0.0390625;0.0;0.0078125;0.0;0.0;0.0234375;0.0;0.0;0.0;0.0;0.0;0.015625;0.0;0.0;128.0;0.6228070175438596
Самарамедпром ОАО;-1.0;;0.0;1.0;0.0;0.0;;0.8;3;6.0;55.90070799999999;37.53954100000001;ChIJ65qH_ec5tUYRyqbFA00vVqM;"ООО ""КДК ""Фиора""";;http://www.kdkfiora.com/;[];;;;0.75;0.25;1826.333333333333;4.0;Самарамедпром ОАО;0.75;0.0;1.0;0.0;0.9642857142857144;0.0;0.03571428571428571;0.0;0.0;0.03571428571428571;0.0;0.0;0.0;0.17857142857142858;0.10714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08035714285714286;0.03571428571428571;0.16071428571428573;0.0;0.03571428571428571;0.0;0.017857142857142856;0.25;0.08928571428571429;0.0;0.008928571428571428;0.03571428571428571;0.0;0.0;0.0;0.0;112.0;0.6833333333333332
Алтайвитамины ЗАО (г.Бийск);0.0;;0.0;0.8;0.2;0.0;;1.0;3;5.0;55.7327784;37.5822849;ChIJ6VPxt6NLtUYR3XgwKqK4w34;Алтайвитамины;;http://www.altayvitamin.ru/;[];2171914.0;188627.0;81.0;0.9433523567956034;0.8114563517226802;1826.125;124.0;Реанал ЗАО;0.024193548387096774;0.0;1.0;0.0;0.7553956834532374;0.0;0.0;0.2446043165467626;0.0;0.0;0.0;0.03597122302158273;0.0;0.34532374100719426;0.14388489208633093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02158273381294964;0.0;0.06474820143884892;0.2446043165467626;0.06474820143884892;0.0;0.0;0.05035971223021583;0.02877697841726619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;139.0;0.5080645161290323
Биосинтез ПАО;-1.0;;0.0;0.8333333333333334;0.16666666666666666;0.3333333333333333;168.0;0.8666666666666666;3;6.0;55.72028299999999;37.77909069999999;ChIJ6xIHYka1SkERc-eFU7L6eQE;Биосинтез;;http://www.biosintez.com/;[];500339.0;63967.0;78.0;0.9826086956521738;0.7751156153474443;1821.926355600884;425.0;"ПАО ""Биосинтез""";0.007058823529411765;0.0;1.0;0.0;0.756838905775076;0.0;0.23556231003039516;0.0075987841945288764;0.0;0.004559270516717325;0.0;0.0060790273556231;0.0;0.09574468085106384;0.06382978723404255;0.001519756838905775;0.004559270516717325;0.0;0.0;0.0;0.0;0.0;0.2674772036474164;0.0075987841945288764;0.44224924012158057;0.016717325227963525;0.00911854103343465;0.0;0.001519756838905775;0.03343465045592705;0.031914893617021274;0.0;0.00911854103343465;0.004559270516717325;0.00303951367781155;0.0;0.0;0.001519756838905775;658.0;0.45790849673202616
Брынцалов-А ПАО;0.0;;0.0;1.0;0.0;0.0;;1.0;3;7.0;55.684214;37.627111600000006;ChIJ7fU_PlizSkERe58hTrE18iE;Брынцалов-а;;http://ferain.ru/;[];3521431.0;365665.0;47.0;0.8464611872146118;0.5567898653857557;1822.8794314796426;237.0;"СОАО ""Ферейн""";0.012658227848101266;0.02127659574468085;0.9787234042553192;0.0;0.8936170212765957;0.0;0.031914893617021274;0.07446808510638298;0.0;0.010638297872340424;0.0;0.010638297872340424;0.0;0.09574468085106384;0.11702127659574467;0.02127659574468085;0.010638297872340424;0.0;0.0;0.0;0.0;0.0;0.13829787234042554;0.05319148936170213;0.3617021276595745;0.0;0.0;0.0;0.010638297872340424;0.07446808510638298;0.0851063829787234;0.0;0.0;0.0;0.0;0.010638297872340424;0.0;0.010638297872340424;94.0;0.5042194092827005
Лекарь ООО;1.0;;0.0;0.3333333333333333;0.6666666666666666;0.3333333333333333;;0.6;1;3.0;55.832322;37.53170000000001;ChIJ9aEgpdA3tUYRNaM14QsR7MY;Аптека ООО Лекарь;0.0;;[['', 5, 1520917863], ['', 5, 1515006369]];;;;1.0;0.0;1826.0;1.0;Лекарь ООО;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.0;0.4444444444444444;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.5333333333333333
Д-р Фальк Фарма ГмбХ/пр.Вифор АГ;0.0;Проблема в описании.;7.0;0.0;1.0;0.0;;1.0;1;1.0;55.78814200000001;37.5893299;ChIJAQAAAGdKtUYRLENRd5MZgUA;Др. Фальк Фарма ГмбХ;;http://www.drfalkpharma.ru/;[];6474658.0;435954.0;39.0;1.0;0.5416666666666667;1827.833333333333;34.0;Др. Фальк Фарма ГмбХ;0.029411764705882353;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.5098039215686274
Санофи-Авентис Франс;0.0;;0.0;0.0;1.0;0.0;;0.2;1;1.0;55.7673488;37.60121229999999;ChIJAQDMt-NKtUYRM4Emp4K--ZI;Санофи-авентис;;http://www.sanofi.ru/;[];1660026.0;169075.0;247.0;0.8412285295349812;0.483942535958665;1738.4568452380954;270.0;Санофи-Авентис груп;0.003703703703703704;1.0;0.0;0.0;0.39436619718309857;0.0;0.4694835680751174;0.13615023474178406;0.0;0.004694835680751174;0.0;0.004694835680751174;0.0;0.19718309859154928;0.04225352112676056;0.056338028169014086;0.004694835680751174;0.0;0.0;0.004694835680751174;0.0;0.0;0.4694835680751174;0.018779342723004692;0.009389671361502348;0.0;0.0;0.0;0.0;0.03755868544600939;0.028169014084507043;0.0;0.03755868544600939;0.0;0.004694835680751174;0.023474178403755867;0.004694835680751174;0.056338028169014086;213.0;0.23456790123456786
Лек С+ ООО;0.0;;0.0;1.0;0.0;0.0;;1.0;1;1.0;55.78876289999999;37.7813829;ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+;;http://www.leksplus.ru/;[];;;;0.9565217391304348;0.8467656415694591;1826.203703703704;146.0;"ООО ""Лек С+""";0.00684931506849315;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909093;0.0;0.09090909090909093;0.0;0.0;0.0;0.0;0.09090909090909093;0.09090909090909093;0.0;0.0;0.0;0.0;0.09090909090909093;0.0;0.0;11.0;0.502283105022831
Б.Браун Мельзунген АГ;0.0;;0.0;0.5;0.5;0.5;23.0;0.6;2;2.0;55.69696399999999;37.62131610000001;ChIJAyCa5VBLtUYRv8m3Jetvf-4;Б.браун Медикал;;http://www.bbraun.ru/;[];1217912.0;132897.0;126.0;1.0;0.8896103896103896;1826.235294117647;80.0;Б.Браун Мельзунген АГ;0.025;1.0;0.0;0.0;0.9885057471264368;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02298850574712644;0.0;0.9310344827586208;0.0;0.0;0.0;0.0;0.0;0.02298850574712644;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;87.0;0.375
Бакстер АГ;-1.0;;0.0;1.0;0.0;0.0;;1.0;1;3.0;55.77130500000001;37.53832200000001;ChIJB4F09IJJtUYRGlmJbvZ62vE;Baxter AG;;http://www.baxter.com/;[];146106.0;44206.0;1404.0;0.96875;0.875;1826.0;32.0;Бакстер АГ;0.03125;1.0;0.0;0.0;0.625;0.025;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.85;0.0;0.0;0.0;0.0;0.0;0.05;0.025;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.5104166666666666
