place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение;"Торговое наименование
лекарственного препарата"
ChIJo8Oi2ApNtUYRBHSUceApjh4;Люпин Лимитед;Иксим Люпин
;Серум Инститьют оф Индия Лтд;Вакцина против кори живая аттенуированная
ChIJw4PJ6iBKtUYRLoN8ZxI1Zt8;"ЗАО ""Скай Лтд""";Стимфорте
ChIJsygL9UIUtUYRsYlUQqhOn8U;Биннофарм ЗАО;Нобен
ChIJsygL9UIUtUYRsYlUQqhOn8U;"ЗАО ""Биннофарм""";Нобен
ChIJsygL9UIUtUYRsYlUQqhOn8U;"Акционерное общество ""Биннофарм"" (АО ""Биннофарм"")";Нобен®
ChIJT6OYP5-0SkERYlHyYw8YBHM;Лек д.д.;Амоксиклав® Квиктаб
;Галфа Лабораториз Лимитед;Цефтриаксон
;"ЗАО ""Производственная фармацевтическая компания ""Обновление"" (ЗАО ""ПФК ""Обновление"")";Аскорбиновая кислота с глюкозой
ChIJafQvE983tUYRPbvjlUgEH3o;Мосфарм ОАО;Натрия хлорид
;"Общество с ограниченной ответственностью ""Мосфарм""";Натрия хлорид
ChIJk9sG3SNLtUYR4YzCTG8Lq1g;"Общество с ограниченной ответственностью ""МОСФАРМ"" (ООО ""МОСФАРМ"")";Натрия хлорид
;"Общество с ограниченной ответственностью ""МОСФАРМ"" 
(ООО ""МОСФАРМ"")";Натрия хлорид
ChIJX06hGxg1tUYRU-4AgiDAxTY;Биохимик ОАО;Агеста
ChIJQ0xuCHJKtUYR0JugUbCORF0;"Общество с ограниченной ответственностью  ""ПРОМОМЕД РУС"" (ООО ""ПРОМОМЕД РУС"")";Агеста
ChIJf79lf2RKtUYR33nATwpMihM;"ООО ""Оксигон""";Мардил Цинк® Макс
ChIJu9gils9ItUYRo5eYfVKIi00;Янссен Фармацевтика Н.В.;Топамакс
ChIJe_0Uoc9ItUYRcRTP3lm7PSQ;"ООО ""Джонсон & Джонсон""";Топамакс®
;"Общество с ограниченной ответственностью ""Завод ""Медсинтез"" (ООО ""Завод ""Медсинтез"")";Реополиглюкин
ChIJfdsnBwNLtUYR5lPQmuVHdpc;Нижфарм ОАО;Клеоре
;"ОАО ""Нижегородский химико-фармацевтический завод"" (ОАО ""Нижфарм"")";Клеоре
ChIJl4iGdHI1tUYRPpuMLBy-t98;"ОАО ""Верофарм""";Эноксапарин натрия
ChIJgQBnszhPtUYR_H3RLQqcFUc;"Общество с ограниченной ответственностью Научно-производственное предприятие ""Техноген""";Гемаза
ChIJN5oxUnW0SkERWYpJ7qGYp-w;Джодас Экспоим Пвт.Лтд;Онгецин
ChIJQ5bewZhStUYRGCR4YvR5C0I;"ЗАО ""Сесана""";Этиловый эфир альфа-бромизовалериановой кислоты
ChIJNaQzZUtStUYRKqSMbnCkSZg;"ООО ""Мир-Фарм""";Метилфенилтиометил-диметиламинометил-гидроксиброминдол карбоновой кислоты этиловый эфир
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ОАО  ""Фармацевтический завод ЭГИС""";Хартил-Д
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ЗАО ""Фармацевтический завод ЭГИС""";Хартил®-Д
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ЗАО ""Фармацевтический завод Эгис""";Хартил-Д
ChIJiR0kxHJNtUYRT_AHrUKGmgc;Микро Лабс Лимитед;Эплиронтин
ChIJC28lEiZNtUYRbVf3ZCSZc0o;"ООО ""Фармапарк""";Филграстим
ChIJBb2QJkBNtUYRIcVoSdHPxx8;"АО ""Пептек""";ГМДП
;Натур Продукт Европа Б.В.;Антигриппин
ChIJp4q1IRNLtUYRf8uZUhOrFeI;"ООО ""ВАЛЕАНТ""";Антигриппин
;"Открытое акционерное общество ""Усолье-Сибирский химико-фармацевтический завод"" (ОАО ""Усолье-Сибирский химфармзавод"")";Кофеин-бензоат натрия
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима""";Кетотифен
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"ОАО ""Ирбитский химфармзавод""";Кетотифен
ChIJ4c4CYx1KtUYR89Vw_gDG9p8;Грин Кросс Корпорейшн;Альбумин человека сывороточный
ChIJnZ-jKk02tUYR2NTNezczWH4;"ООО ""Натурвита""";Гомеопатические монокомпонентные препараты природного происхождения (10 наименований - согласно приложению)
ChIJoUk_NHW0SkERMgy3DMTrbDM;"Открытое акционерное общество ""ОРГАНИКА"" (ОАО ""ОРГАНИКА"")";Салициламид
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива к.с.;Ледибон®
ChIJv95ZP0ZKtUYRcCwfTwmIOPA;"АО ""Санофи Россия""";Ледибон®
ChIJN5t4CjesSkERQ1DK79U7f40;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";Душицы экстракт жидкий
;"Курская биофабрика - фирма ""БИОК"" ФГУП";Натрия хлорид
;"Федеральное государственное унитарное предприятие ""Курская биофабрика - фирма ""БИОК""";Натрия хлорид
;"Федеральное казенное предприятие ""Курская биофабрика - фирма БИОК""";Натрия хлорид
ChIJ-71jTXJKtUYRg0kDkPoNglI;"ОАО ""Красногорсклексредства""";Мелиссы лекарственной трава
;"Акционерное общество ""Красногорские лекарственные средства"" (АО ""Красногорсклексредства"")";Мелиссы лекарственной трава
;"ООО ""МагикФарм""";Бриллиантовый зеленый
ChIJiU0jTOVLtUYRba9dUL-NqlA;"Общество с ограниченной ответственностью Фирма ""Здоровье"" (ООО Фирма ""Здоровье"")";Чистотела трава
ChIJnymI8kY3tUYR4t0huzOeQOs;"ЗАО ""Еврофарм""";Дротаверин
ChIJ-71jTXJKtUYRg0kDkPoNglI;"ОАО ""Красногорсклексредства""";Шалфея листья
;"ООО ""МФП ""Сообщество ""Магнолия""";Дуба кора
ChIJDSFM6qlGtUYRTqW6Zqq3HrU;Красногорсклексредства ОАО;Шалфея листья
;"Закрытое акционерное общество ""Ростовская фармацевтическая фабрика"" (ЗАО ""Ростовская фармацевтическая фабрика"")";Ротокан
ChIJK4ELVNtNtUYRjlNFkPzgOFg;Вертекс ЗАО;Симвастатин
ChIJ9ZYG-qE2tUYR3nk-TKZBYZI;"Закрытое акционерное общество ""Вертекс""";Симвастатин
ChIJK4ELVNtNtUYRjlNFkPzgOFg;"Закрытое акционерное общество ""ВЕРТЕКС"" (ЗАО ""ВЕРТЕКС"")";Симвастатин
ChIJVx0QfDLLSkER9ipPlmNzLsQ;"ООО ""Тривиум""";Лизиноприл
ChIJpQ9D8jBItUYRFofd50bTTJQ;Озон ООО;Амитриптилин
ChIJQciYlIBKtUYRgc7hMvgEKoY;"Общество с ограниченной ответственностью ""Озон"" (ООО ""Озон"")";Амитриптилин
;ТРБ Химедика Интернешенл С.А.;Артродарин
;ТРБ Химедика Интернешенл С.А.;Артродарин®
ChIJkbo1cRJLtUYRMGRLo57JCGQ;"ООО ""Тева""";Оксалиплатин-Тева
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Оксалиплатин-Тева
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Оксалиплатин-Тева
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд;Сизодон-Сан
ChIJvS5sNolKtUYR0TfMFpYvPcU;Бристол-Майерс Сквибб Холдингс Фарма Лтд;Оренсия®
ChIJvS5sNolKtUYR0TfMFpYvPcU;Бристол-Майерс Сквибб Холдингс Фарма Лтд;Оренсия
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива а.с.;Пиносол
ChIJv95ZP0ZKtUYRcCwfTwmIOPA;"АО ""Санофи Россия""";Пиносол®
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива а.с.;Пиносол®
;Нортон Хэлскэа Лимитед, выступающий под торговой маркой Айвэкс Фармасьютикалс Юкей;Ипратропиум Стери-Неб
;Нортон Хэлскэа Лимитед, выступающий под торговой маркой Айвэкс Фармасьютикалс Юкей;Ипрамол Стери-Неб
ChIJXwdxGdxLtUYRllLOIM8WOvg;"Открытое акционерное общество ""Фармасинтез""";Теризидон плюс
;Лок-Бета Фармасьютикалс (I) Пвт.Лтд;Теризидон плюс
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;"ЗАО ""АрСиАй Синтез""";Теризидон плюс
;Лабораториоз Атрал С.А.;Антибиоксим
;Наброс Фарма Пвт.Лтд;Эссливер
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")";Кальций Д3 Классик
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА д.д., Ново место;Арипипразола фумарат
ChIJkbo1cRJLtUYRMGRLo57JCGQ;АЙВЭКС Фармасьютикалс с.р.о.;Назарел
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Назарел
ChIJSxa40iFLtUYRt4qiPG6IDbU;Гленмарк Фармасьютикалз Лтд;Клензит-С
ChIJSxa40iFLtUYRt4qiPG6IDbU;Гленмарк Фармасьютикалз Лимитед;Клензит-С
ChIJSxa40iFLtUYRt4qiPG6IDbU;Гленмарк Фармасьютикалз Лтд;Момат
ChIJSxa40iFLtUYRt4qiPG6IDbU;Гленмарк Фармасьютикалз Лимитед;Момат
ChIJY83Q7CrTSkER4MHnT6ofxlc;Валента Фармацевтика ОАО;Тримедат
ChIJY83Q7CrTSkER4MHnT6ofxlc;"Публичное акционерное общество ""Валента Фармацевтика"" (ПАО ""Валента Фарм"")";Тримедат®
;"Общество с ограниченной ответственностью ""Розфарм"" (ООО ""Розфарм"")";Аскорбиновая кислота
;"ООО ""ПКФ ""Фитофарм""";Укропа пахучего плоды
ChIJ5XVxn8JKtUYRczn69jOkjv4;Ипсен Фарма;Диферелин
ChIJ5XVxn8JKtUYRczn69jOkjv4;Ипсен Фарма;Диферелин®
ChIJm5FQtSFLtUYRcLjIkK1z0wI;Рекитт Бенкизер Хелскэр Интернешнл Лтд;Нурофен плюс Н
;"Санкт-Петербургское государственное учреждение здравоохранения ""Городская станция переливания крови""";Плазма для фракционирования
ChIJYeChugRStUYRGFf9Cm5ndhY;"ООО ""ВИАЛ""";Натрия аденозинтрифосфат-Виал
;"ООО ""БиоФармКомбинат""";Гипоролам
ChIJp7OiFxBLtUYRAlLOfZyUKcg;Гедеон Рихтер ОАО;Нортиван
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Нортиван
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Нортиван®
ChIJ30Hy2PtOtUYRwCnaSntJXBw;К.О.Ромфарм Компани С.Р.Л.;Циклоптик
ChIJgTkLbY85tUYRjy6a50nTqAQ;"ОАО ""Фармстандарт-Лексредства""";Пенталгин®
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Открытое акционерное общество ""Фармстандарт-Лексредства""";Пенталгин®
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Открытое акционерное общество ""Фармстандарт-Лексредства""";Пенталгин
;"Открытое акционерное общество ""Отисифарм""";Пенталгин
ChIJDQV3Bo85tUYRQEG2NjR2PIQ;"Публичное акционерное общество ""Отисифарм""";Пенталгин®
ChIJM9szLLqtSkERywPbkwQz5kc;"ЗАО ""ФПК ""ФармВИЛАР""";Кинедрил®
;Мапичем АГ;Эналаприл
ChIJm5FQtSFLtUYRcLjIkK1z0wI;Рекитт Бенкизер Хелскэр Интернешнл Лтд;Нурофен УльтраКап форте
ChIJm5FQtSFLtUYRcLjIkK1z0wI;Рекитт Бенкизер Хелскэр (Великобритания) Лимитед;Нурофен® Экспресс Фoрте
ChIJm5FQtSFLtUYRcLjIkK1z0wI;Рекитт Бенкизер Хелскэр Интернешнл Лтд;Нурофен Экспресс форте
ChIJgwZNU80-tUYRehRWPzzY7Ds;"Общество с ограниченной ответственностью ""Технология лекарств"" (ООО ""Технология лекарств"")";Рилузол
ChIJY8up48xItUYRcbCjYoGqLTk;АВВА РУС ОАО;Эколевид
ChIJY8up48xItUYRcbCjYoGqLTk;"АО ""АВВА РУС""";Левофлоксацин Эколевид®
ChIJY8up48xItUYRcbCjYoGqLTk;"ОАО ""АВВА РУС""";Эколевид®
ChIJY8up48xItUYRcbCjYoGqLTk;"Акционерное общество ""АВВА РУС"" (АО ""АВВА РУС"")";Левофлоксацин Эколевид®
;Менадиона С.Л.;Менадиона натрия бисульфит
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Эском НПК ОАО [Ставрополь];Пентоксифиллин-Эском
;"ОАО Научно-производственный концерн ""ЭСКОМ""";Пентоксифиллин-ЭСКОМ
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Эском НПК ОАО [Ставрополь];Аскорбиновая кислота
;"Открытое акционерное общесто Научно-производственный концерн ""ЭСКОМ""";Аскорбиновая кислота
;"ОАО Научно-производственный концерн ""ЭСКОМ""";Аскорбиновая кислота
ChIJv0hf4BJLtUYRBpKJcntekR0;Берлин-Хеми/Менарини Фарма ГмбХ;Йодокомб 50/150
ChIJv0hf4BJLtUYRBpKJcntekR0;Берлин-Хеми/Менарини Фарма ГмбХ;Йодокомб® 50/150
ChIJv0hf4BJLtUYRBpKJcntekR0;Берлин-Хеми/Менарини Фарма ГмбХ;Йодокомб 75/150
ChIJv0hf4BJLtUYRBpKJcntekR0;Берлин-Хеми/Менарини Фарма ГмбХ;Йодокомб® 75/150
ChIJBW-HVze1SkERmWo9580bjhU;Московский эндокринный завод ФГУП;Диклофенак
ChIJBW-HVze1SkERmWo9580bjhU;"Федеральное государственное унитарное предприятие ""Московский эндокринный завод""";Диклофенак
ChIJBW-HVze1SkERmWo9580bjhU;"Федеральное государственное унитарное предприятие ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"" (ФГУП ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"")";Диклофенак
ChIJq6qqasxEtUYR1tRvm4fQYLs;"ЗАО ""Биокад""";Платикад®
ChIJq6qqasxEtUYR1tRvm4fQYLs;"ЗАО ""Биокад""";Платикад
ChIJZbMm5GqzSkER0W-I7pk1bsA;Сотекс ФармФирма ЗАО;Церетон®
ChIJZbMm5GqzSkER0W-I7pk1bsA;"Закрытое акционерное общество ""ФармФирма ""Сотекс""";Церетон
;Акьюр Лабс Пвт.Лтд;Сиптрогил
ChIJw0jGtFC1SkERVe0FauPd_Mo;Зеленая Дубрава ЗАО;Клотримазол
ChIJw0jGtFC1SkERVe0FauPd_Mo;"Закрытое акционерное общество ""Зеленая дубрава"" (ЗАО ""Зеленая дубрава"")";Клотримазол
ChIJq6qqasxEtUYR1tRvm4fQYLs;"Закрытое акционерное общество ""БИОКАД"" (ЗАО ""БИОКАД"")";Оксалиплатин
ChIJw6CGOPCxSkERZdlGuKq0HOk;Санкт-Петербургский НИИ вакцин и сывороток и предприятие по производству бактерийных препаратов ФГУП ФМБА;Коллализин
;"Федеральное государственное унитарное предприятие ""Санкт-Петербургский научно-исследовательский институт вакцин и сывороток и предприятие по производству бактерийных препаратов"" Федерального медико-биологического агентства";Коллализин®
ChIJC9qlt9MstUYRmvj5LMf-JFY;"ЗАО ""Канонфарма продакшн""";Эксхол®
;"Открытое акционерное общество ""Фирма Медполимер"" (ОАО ""Фирма Медполимер"")";Волемкор
;"ОАО Научно-производственный концерн ""ЭСКОМ""";Рингер лактат
ChIJiZ51ngVLtUYRAsiIhG-MqIs;"Государственное учреждение здравоохранения ""Самарская областная станция переливания крови""";Альбумин
ChIJe2lbepVMtUYRjplto1cGR7k;"Государственное учреждение здравоохранения ""Самарская областная клиническая станция переливания крови""";Альбумин
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;А.Наттерманн энд Сие. ГмбХ;Бронхикум® ТП
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"ОАО ""Ирбитский химфармзавод""";Стрептоцид
ChIJ-4GgOlNKtUYRJAfJskWS2Sc;Стерлинг С.п.А.;Мометазона фуроат
ChIJteSYs7FLtUYRPCw1Aiev_FE;Италфармако С.п.а.;Натекаль Д3
ChIJteSYs7FLtUYRPCw1Aiev_FE;Италфармако С.п.А.;Натекаль Д3
;Мапичем АГ;Амиодарона гидрохлорид
;"ЗАО ""Самаралектравы""";Силимар
;"ОАО ""Востоквит""";Йодантипирин
ChIJAQAAAGdKtUYRLENRd5MZgUA;Д-р Фальк Фарма ГмбХ;Эндофальк
ChIJAQAAAGdKtUYRLENRd5MZgUA;Др. Фальк Фарма ГмбХ;Эндофальк
;"Др. Фальк Фарма ГмбХ, Германия
Leinenweberstrasse 5, 79108 Freiburg, Germany";Эндофальк
;БиоМарин Европа Лтд;Наглазим
;БиоМарин Европа Лтд;Наглазим®
ChIJswjg3NpMtUYRgkjh7DWTyws;Плива Хрватска д.о.о.;Иринотекан Плива-Лахема
ChIJJ8OtDSBKtUYR1vvor6hLTaE;"ООО ""Гиппократ""";Лимановит® Е
ChIJ6VPxt6NLtUYR3XgwKqK4w34;"ЗАО ""Алтайвитамины""";Аевит
;Хубей Максфарм Индастриз Ко.Лтд;Панкреатин
ChIJT7_H2zxItUYRdRNdSWE6NK4;Бакстер С.А.;Оликлиномель N4-550 Е
;"Совместное общество с ограниченной ответственностью ""Лекфарм"" (СООО ""Лекфарм"")";Арпефлю
;"Совместное общество с ограниченной ответственностью ""Лекфарм"" (СООО ""Лекфарм"")";Арпетолид
;Ирбитский ХФЗ ОАО;Винпоцетин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима""";Винпоцетин
ChIJaXNA0AlKtUYRzxHJj47qcZs;Хемофарм А.Д.;Фебрицет
ChIJgTkLbY85tUYRjy6a50nTqAQ;Фармстандарт-Уфимский витаминный завод ОАО;Гендевит
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Открытое акционерное общество ""Фармстандарт-Уфимский витаминный завод"" (ОАО ""Фармстандарт-УфаВИТА"")";Гендевит
ChIJBW-HVze1SkERmWo9580bjhU;Московский эндокринный завод ФГУП;Нитразепам
ChIJBW-HVze1SkERmWo9580bjhU;"Федеральное государственное унитарное предприятие ""Московский эндокринный завод""";Нитразепам
ChIJBW-HVze1SkERmWo9580bjhU;"Федеральное государственное унитарное предприятие ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"" (ФГУП ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"")";Нитразепам
ChIJWzVIbI85tUYRlTbKa0ve3tE;Синтез ОАО;АзитРус форте
ChIJTyK6ImA5tUYRQLQBzlUGo5Q;"Открытое акционерное общество ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез"" (ОАО ""Синтез"")";АзитРус® форте
ChIJe_nF5xw1tUYRHScYLhBu92o;Ставропольский научно-исследовательский противочумный институт ФГУЗ;Вакцина чумная живая
;Ставропольский научно-исследовательский противочумный институт Роспотребнадзора ФКУЗ;Вакцина чумная живая
ChIJW-VRVBNMtUYRIdc5aVQzaWg;БЕЛУПО, лекарства и косметика д.д.;Ирумед®
ChIJYTwhVBNMtUYRXUge9SXJ8vo;Обновление ПФК ЗАО;Грамицидин С
ChIJYTwhVBNMtUYRXUge9SXJ8vo;Обновление ПФК ЗАО;Натрия хлорид буфус
;"Закрытое акционерное общество ""Производственная фармацевтическая компания ""Обновление""";Натрия хлорид буфус
;"ЗАО ""Производственная фармацевтическая компания ""Обновление"" (ЗАО ""ПФК ""Обновление"")";Натрия хлорид буфус
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Эском НПК ОАО [Ставрополь];Калия хлорид
;"ОАО Научно-производственный концерн ""ЭСКОМ""";Калия хлорид
ChIJfdsnBwNLtUYR5lPQmuVHdpc;Нижфарм ОАО;Антралив
;"Акционерное общество ""Нижегородский химико-фармацевтический завод"" (АО ""Нижфарм"")";Антралив®
;"Фармацевтический завод ""ПОЛЬФАРМА"" АО";Метопролола сукцинат
ChIJgwZNU80-tUYRehRWPzzY7Ds;Технология лекарств ООО;Летрозол
;"ОАО ""Нижегородский химико-фармацевтический завод"" (ОАО ""Нижфарм"")";Бензилникотинат
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Амлодипин-Тева
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Амлодипин-Тева
ChIJC9qlt9MstUYRmvj5LMf-JFY;"Закрытое акционерное общество ""Канонфарма продакшн""";Холитилин®
ChIJdc7WB2uzSkERpAE4Y-RSKqI;Ингакамф ООО;Ляписный карандаш
;"ООО ""Ингакамф""";Ляписный карандаш
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер Шеринг Фарма АГ;Вентавис
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер Фарма АГ;Вентавис
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер АГ;Вентавис
ChIJ26B5Wb5KtUYRGp76xU7Fhl8;Медокеми Лтд;Медоклав
ChIJ26B5Wb5KtUYRGp76xU7Fhl8;Промед Экспортс Пвт.Лтд;Осмоголь
ChIJ26B5Wb5KtUYRGp76xU7Fhl8;Промед Экспортс Пвт.Лтд;Осмоголь®
;Тверская фармфабрика ОАО;Зеленина капли
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;"ОАО ""Тверская фармацевтическая фабрика""";Зеленина капли
;"Открытое акционерное общество ""Самарамедпром"" (ОАО ""Самарамедпром"")";Меновазин
ChIJfc2KK7qtSkERmQNGKtfCpNU;"ЗАО ""Фармцентр ""ВИЛАР""";Глицирам
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима""";АСПАРКАМ АВЕКСИМА
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима""";Аспаркам
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"ОАО ""Ирбитский химфармзавод""";Аспаркам
ChIJDVjMMUisSkERAiTVUlwo4Tk;Фарма АД;Циннаризин
;Хеверт Арцнаймиттель ГмбХ и Ко.КГ;ХЕВЕРТ® ПУЛЬМО
;Хеверт Арцнаймиттель ГмбХ и Ко.КГ;ХЕВЕРТ ПУЛЬМО
ChIJ6xIHYka1SkERc-eFU7L6eQE;"ОАО ""Биосинтез""";Сумаклид®
ChIJ6xIHYka1SkERc-eFU7L6eQE;"ОАО ""Биосинтез""";Сумаклид
ChIJ6xIHYka1SkERc-eFU7L6eQE;"ПАО ""Биосинтез""";Сумаклид®
ChIJf5WJuQNLtUYR53XHU6jH9zM;Актавис Групп АО;Клобир
ChIJZ6UjltxLtUYRO0n57OTEtqU;Мекофар Кемикал-Фармасьютикал Джойнт Сток Компани;Цефотаксим ДС
ChIJ-Z0KlhBKtUYRarrGx1rq6v4;Хармс ООО;Сенны экстракт сухой
ChIJs60Km8KtSkERvG2zW1VWZuw;"ЗАО ""Иван-чай""";Желчегонный сбор №2
ChIJs60Km8KtSkERvG2zW1VWZuw;"Закрытое акционерное общество ""Иван-Чай"" (ЗАО ""Иван-Чай"")";Желчегонный сбор №2
ChIJz0wKvftKtUYRE6bn6S4LM_s;Д-р Редди`с Лабораторис Лтд;Цитогем
ChIJz0wKvftKtUYRE6bn6S4LM_s;Д-р Редди'с Лабораторис Лтд;Цитогем®
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА д.д., Ново место;Триовит® Кардио
ChIJu4nq5OHPSkERVN5v6SzNWAI;Акрихин ХФК ОАО;Глиформин®
ChIJu4nq5OHPSkERVN5v6SzNWAI;"Открытое акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН""";Глиформин
ChIJu4nq5OHPSkERVN5v6SzNWAI;"Акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"" (АО ""АКРИХИН"")";Метформин-Акрихин
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА, д.д., Ново место, Словения;Заласта® Ку-таб
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;"АО ""КРКА, д.д., Ново место""";Заласта® Ку-таб®
;Сановель Фармако-индустриальная торговая компания;Эксен-Сановель
;Сановель Фармако-индустриальная торговая компания;Эксен-сановель
;"ОАО ""Кировская фармацевтическая фабрика""";Медицинский антисептический раствор
ChIJz0wKvftKtUYRE6bn6S4LM_s;Д-р Редди'с Лабораторис Лтд;Леволет Р
ChIJdc7WB2uzSkERpAE4Y-RSKqI;Протек-СВМ ООО;"Флуконазол-ЛЕКСВМ®
"
ChIJdc7WB2uzSkERpAE4Y-RSKqI;"ООО ""Протек-СВМ""";Флуконазол-ЛЕКСВМ
ChIJPwXWEyi1SkERq8Hod9dusM4;"АО ""Научно-производственный центр ""ЭЛЬФА""";Флуконазол Эльфа
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА, д.д., Ново место;Заласта
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;"АО ""КРКА, д.д., Ново место""";Заласта®
ChIJJ8OtDSBKtUYR1vvor6hLTaE;Гиппократ ООО;Пиона уклоняющегося настойка
ChIJJ8OtDSBKtUYR1vvor6hLTaE;"ООО ""Гиппократ""";Пиона уклоняющегося настойка
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива а.с.;Уротол
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива к.с.;Уротол
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива к.с.;Уротол®
ChIJv95ZP0ZKtUYRcCwfTwmIOPA;"АО ""Санофи Россия""";Уротол®
ChIJs60Km8KtSkERvG2zW1VWZuw;"АО ""Иван-чай""";Боярышника плоды
ChIJZbMm5GqzSkER0W-I7pk1bsA;Сотекс ФармФирма ЗАО;Хондрогард
ChIJZbMm5GqzSkER0W-I7pk1bsA;"Закрытое акционерное общество ""ФармФирма ""Сотекс""";Хондрогард
ChIJZbMm5GqzSkER0W-I7pk1bsA;"Закрытое акционерное общество ""ФармФирма ""Сотекс"" (ЗАО ""ФармФирма ""Сотекс"")";Хондрогард®
ChIJZbMm5GqzSkER0W-I7pk1bsA;"Закрытое акционерное общество ""ФармФирма ""Сотекс"" (ЗАО ""ФармФирма ""Сотекс"")";ХОНДРОГАРД®
;Формоза Лабораториз Инк;Лефлуномид
ChIJAYNGsG5MtUYRKIQegK7V9Q4;"ООО ""Лек С+""";Ноготков цветки
ChIJVVVVVVVCNEERIg-ynVuN_pE;"Общество с ограниченной ответственностью ""Изварино Фарма"" (ООО ""Изварино Фарма"")";Голдлайн®
ChIJY5alyXk2tUYRlxyBZb2_pAM;Ранбакси Лабораториз Лтд;Голдлайн®
ChIJY5alyXk2tUYRlxyBZb2_pAM;Ранбакси Лабораториз Лтд;Голдлайн
ChIJz0wKvftKtUYRE6bn6S4LM_s;Д-р Редди`с Лабораторис Лтд;Плагрил
ChIJz0wKvftKtUYRE6bn6S4LM_s;Д-р Редди'с Лабораторис Лтд;Плагрил
ChIJz0wKvftKtUYRE6bn6S4LM_s;Д-р Редди'с Лабораторис Лтд;Плагрил®
;Хемофарм ГмбХ;Диклофенак калия
ChIJN5t4CjesSkERQ1DK79U7f40;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";Сальвин
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА д.д., Ново место;Гликлада®
;"Общество с ограниченной ответственностью ""Альтфарм"" (ООО ""Альтфарм"")";Ондансетрон-Альтфарм
;Нордмарк Арцнаймиттель ГмбХ & Ко.КГ;Прогепар®
ChIJcT9mv1GzSkERUA82RCPpH38;Тайм Трейд Хандельсгезелльшафт мбХ;Прогепар®
