place_id,Нарушения экспертно,Тяжесть нарушения экспертно
ChIJm5FQtSFLtUYRcLjIkK1z0wI,,0.0
ChIJmRlppFlKtUYRAYZL6rWs5gA,,0.0
ChIJmSbw8aY_tUYRMwI1ASuUhxY,,0.0
ChIJmWay4rW4SkERjFsNFF3hcDY,,0.0
ChIJmftiOMpJtUYRUCJqGsDBtXg,,0.0
ChIJmftiOMpJtUYRiah5H_Lr6cg,,0.0
ChIJn-lNRw5LtUYR8gybSDdC-dE,,0.0
ChIJnYaPtiVLtUYRuK3rKkGK2U8,,0.0
ChIJn_8YrSBNtUYRI43H0GseLmU,,0.0
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw,,0.0
ChIJn_aYQZxItUYRhC6m01eiNzw,Маркировка.,4.0
ChIJo5zZa5zKSkERl-aVlk3Q1Xs,Маркировка.,4.0
ChIJoUk_NHW0SkERMgy3DMTrbDM,,0.0
ChIJoVFx8zRLtUYReBR6uAX6YdM,,0.0
ChIJp7OiFxBLtUYRAlLOfZyUKcg,Маркировка.,4.0
ChIJpQ9D8jBItUYRFofd50bTTJQ,,0.0
ChIJq6qqasxEtUYR1tRvm4fQYLs,,0.0
ChIJq6qqasxEtUYRKMobQ8i0TjU,,0.0
ChIJqVjuv-I0tUYR24VQf6E9RMM,,0.0
ChIJqzKIXdk1tUYRQgmBLie7kjc,,0.0
ChIJs8k2pDlKtUYRTBV4Ej5i3Os,,0.0
ChIJsQrpg-dKtUYR-HoJoprREHs,,0.0
ChIJsygL9UIUtUYRsYlUQqhOn8U,,0.0
ChIJteSYs7FLtUYRN4RzNBJ2P1s,,0.0
ChIJteSYs7FLtUYRPCw1Aiev_FE,,0.0
ChIJtfmJlfeySkERM8quumUoRUA,,0.0
ChIJu0cpgh5ItUYRgUw7GkBlxZA,,0.0
ChIJu4O6bBG0SkERH2Glcrufkzo,Проблема в описании.,7.0
ChIJu4nq5OHPSkERVN5v6SzNWAI,Проблема в описании.,7.0
ChIJv0hf4BJLtUYRBpKJcntekR0,,0.0
ChIJvS5sNolKtUYR0TfMFpYvPcU,,0.0
ChIJvTdL7u1MtUYR401N-nauPxk,,0.0
ChIJvUgQEaZMtUYRov3jpImZGaM,,0.0
ChIJvdmABgS1SkERLMz-Mtw3REU,,0.0
ChIJveVS7eFKtUYRdVWjQEI-UOk,,0.0
ChIJw0jGtFC1SkERVe0FauPd_Mo,,0.0
ChIJw6CGOPCxSkERZdlGuKq0HOk,,0.0
ChIJwfdBT4lOtUYRlvmtgXtPoYc,Проблема в описании.,7.0
ChIJx76NZM1LtUYRQN7LcStjgSg,Упаковка.,4.0
ChIJxYs4f-JItUYRAHAkTmc6Rfs,,0.0
ChIJyS2nIclMtUYR6uiXMFxWuKY,Проблема в описании.,7.0
ChIJydtP0a5MtUYRvaTk_uo0weY,,0.0
ChIJz0wKvftKtUYRE6bn6S4LM_s,,0.0
