place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение
;Эрбис ООО
ChIJ1ab4GGZKtUYRMJHfFVPD_5A;Рестер ЗАО
ChIJ7-g75qRLtUYRUmiPP4pO2nI;Центр по химии лекарственных средств ФГУП (ЦХЛС-ВНИХФИ)
ChIJrfA-ihGzSkERv9vEUkuSXg8;Ласкрафт ЗАО
;"ЗАО ""Ласкрафт"""
ChIJp7OiFxBLtUYRAlLOfZyUKcg;Гедеон Рихтер-РУС ЗАО
ChIJPc3OcI82tUYREAAuIhu3cWA;ДСМ Нутришнл Продактс Инк
ChIJafQvE983tUYRPbvjlUgEH3o;"ЗАО ""Московская фармацевтическая фабрика"""
;Чемо Иберика С.А.
ChIJq6qqasxEtUYR1tRvm4fQYLs;Биокад ЗАО
;Дестилационес Бордас Чинчуррета С.А.
ChIJl4iGdHI1tUYRPpuMLBy-t98;Верофарм ОАО
;Кимика Фармасьютика Байер С.А.
;"ОАО ""Востоквит"""
ChIJMYroE39HtUYRtV9_5i4gVDk;Присайз Кемифарма Пвт.Лтд
ChIJbxkcGdxLtUYR77Fz-q1KnTU;ЮграФарм ОАО
ChIJ4weGeDiySkERhqDKPJepqOI;"Общество с ограниченной ответственностью ""Медицинский научно-производственный комплекс ""БИОТИКИ"" (ООО ""МНПК ""БИОТИКИ"")"
ChIJu4nq5OHPSkERVN5v6SzNWAI;Химфарм АО
;"Закрытое акционерное общество ""Ярославская фармацевтическая фабрика"""
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Белмедпрепараты РУП
ChIJcQHwynBKtUYReN98gOfg0fQ;Омела ООО
ChIJpQ9D8jBItUYRFofd50bTTJQ;Озон ООО
ChIJCUGGsGTT3UMRAL4jB40scy0;Биоком ЗАО
ChIJi4x6b_81tUYR7w8oeUKdUAU;"Общество с ограниченной ответственностью ""БИОН"" (ООО ""БИОН"")"
ChIJ40vn4o5JtUYRimdHui9Nazo;Монико С.п.А.
ChIJBfjVpMU5tUYRp0nvk1loQTo;Европа-Биофарм НПО ЗАО
ChIJBfjVpMU5tUYRp0nvk1loQTo;"Закрытое акционерное общество Научно-производственное объединение ""Европа-Биофарм"""
;Борисовский завод медицинских препаратов РУП
ChIJm3B8sINMtUYRTPc2C-3HsQo;"Закрытое акционерное общество ""ЭКОлаб"""
ChIJbShggKy1SkERnOYCir1_4oE;Фармакор продакшн ООО
;"Общество с ограниченной ответственностью ""Фармакор продакшн"""
;"Общество с отраниченной ответственностью ""Фармакор продакшн"" (ООО ""Фармакор продакшн"")"
ChIJrXLUUhJKtUYRx6R0nCavUKA;Материа Медика Холдинг НПФ ООО
ChIJVeFo4ZJKtUYRTCHxqzED9DI;Авиценна медицинский центр ООО
;Фортун Оверсиз Компани Пвт.Лтд
ChIJ082evx9LtUYRfteuOWQcgD8;Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития Российской Федерации» (ФГУП «НПО «Микроген» Минздравсоцразвития России)
ChIJT7_H2zxItUYR1N1ini-eKuY;Эбботт Продактс ГмбХ
;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» Министерства здравоохранения
Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)"
ChIJ2yXt3UZNtUYRtV3Jor6xIPM;Биореактор ООО
;"Акционерное общество ""Эмпилс-Фох"" (АО ""Эмпилс-Фох"")"
ChIJ6zAdFaY2tUYRo2YlwzFkya4;Ярославская фармфабрика ЗАО
;Борисовский завод медицинских препаратов ОАО
;Открытое акционерное общество «Борисовский завод медицинских препаратов» (ОАО «БЗМП»)
;Тонира Фарма Лимитед
ChIJPzmvuxFNtUYRwUxtOrG8CWU;Ипка Лабораториз Лимитед
ChIJ_5nO4RRLtUYRgKPSs_37TYk;АВД.фарма ГмбХ и Ко.КГ
ChIJQe3EgNG0SkERHPLPfBYt7Do;Олайнфарм АО
;Завод химических реактивов (НТК Институт монокристаллов) ГП
ChIJIzMveudTtUYRVc59aRu00Rk;Предприятие по производству бактерийных и вирусных препаратов Института полиомиелита и вирусных энцефалитов им.М.П.Чумакова РАМН ФГУП
ChIJIzMveudTtUYRVc59aRu00Rk;"Федеральное государственное унитарное предприятие ""Предприятие по производству бактерийных и вирусных препаратов Института полиомиелита и вирусных энцефалитов им. М.П. Чумакова"""
ChIJIzMveudTtUYRVc59aRu00Rk;"Федеральное государственное унитарное предприятие ""Предприятие по производству бактерийных и вирусных препаратов Института полиомиелита и вирусных энцефалитов им. М.П. Чумакова Российской академии медицинских наук"""
ChIJ4xjzpN1LtUYR0ZlLBxiSWAc;Лилли С.А.
;"Генериум ЗАО; ЗАО ""Мастерклон"""
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Мастерклон ЗАО
ChIJsygL9UIUtUYRsYlUQqhOn8U;Биннофарм ЗАО
ChIJD1qjE9lKtUYR0Fo0WCYjxgc;Х.Лундбек А/О
ChIJe_0Uoc9ItUYRcRTP3lm7PSQ;Джонсон & Джонсон ООО
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА, д.д., Ново место
ChIJNaQzZUtStUYRKqSMbnCkSZg;Обнинская химико-фармацевтическая компания ЗАО
;Медик ЛДФ
;Фармацевтическая корпорация Тяньцзинь Жонган Лтд
ChIJZwNLbsJJtUYR2T22HvtkgMg;"Федеральное государственное бюджетное учреждение ""Гематологический научный центр"" Министерства здравоохранения и социального развития Российской Федерации"
ChIJZwNLbsJJtUYR2T22HvtkgMg;"Федеральное государственное бюджетное учреждение ""Гематологический научный центр"" Министерства здравоохранения Российской Федерации (ФГБУ ГНЦ Минздрава России)"
;Чжецзян Апелоа Фармацеутикал Ко.Лтд
ChIJOwi4095HtUYRM_nWv05vBlk;Биофарм Право-Альфа ЗАО
ChIJI3pnC8A2tUYRELgrYngPJCg;"Общество с ограниченной ответственностью ""Компания ""Деко"""
;Чжэцзян Чериотир Фармасьютикал Ко.Лтд
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Новасил
;Сарака Лабораториз Лимитед
;Жеджианг Джиужоу Фармасьютикал Ко.Лтд.
ChIJT7_H2zxItUYR1N1ini-eKuY;Эбботт С.п.А.
ChIJT7_H2zxItUYR1N1ini-eKuY;Эбботт С.р.Л.
ChIJQeD8TDyzSkERookfhrZrnLg;Гриндекс АО
ChIJUf0bKKpMtUYRgpZ0bCIYl08;Общество с ограниченной ответственностью «ГЕРОФАРМ»
ChIJnZZW2yFLtUYRwTUBIjKkST4;"Общество с ограниченной ответственностью ""ГЕРОФАРМ"""
;Юни-Суль Пвт.Лтд
;Эррегиере С.п.А.
ChIJLRinf8JLtUYR66DCfuaH-mE;"ООО ""Фармстандарт"""
ChIJwfdBT4lOtUYRlvmtgXtPoYc;Фармак ОАО
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития Российской Федерации  (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)"
ChIJDydTWbM2tUYRRJAcBNJk-Vw;Технолог ЗАО
ChIJDydTWbM2tUYRRJAcBNJk-Vw;"ЗАО ""Технолог"""
;"Акционерное общество ""Лекхим"" (АО ""Лекхим"" )"
ChIJiU0jTOVLtUYRba9dUL-NqlA;Здоровье Фирма ЗАО
ChIJ-8ek18xJtUYR3JOmVnhoXCE;Уралбиофарм ОАО
ChIJBQQcmwVJtUYROQideVc0ugU;Техмедсервис ЗАО
;Фабрика Итальяна Синтетик С.п.А.
ChIJNXiLcGu0SkERG9CwzLpYuu8;"ООО ""Конваллар Фарма"""
ChIJ055xDOdKtUYR-eYTXo8MdQQ;Мосхимфармпрепараты им.Н.А.Семашко ФГУП
;Фармстандарт-Фитофарм-НН ООО [Н.Новгород]
;Красноуральский химический завод ФГУП
;УКУИПА-Униао Кимика Португеса Лда
ChIJUYc35GqzSkERtdvaYRD1sio;Антивирал НПО ЗАО
ChIJA7Ml72qzSkERbN4BJHMFihY;"ООО ""АнвиЛаб"""
ChIJUYc35GqzSkERtdvaYRD1sio;"ЗАО ""НПО ""Антивирал"""
ChIJBfjVpMU5tUYRp0nvk1loQTo;Биофарм НПО ООО
;Гедеке ГмбХ
ChIJ553K2LZEtUYRhzbykHhrmtA;Фермент Фирма ООО
ChIJ553K2LZEtUYRhzbykHhrmtA;"ООО ""Фирма ""Фермент"""
ChIJ553K2LZEtUYRhzbykHhrmtA;"Общество с ограниченной ответственностью Фирма ""ФЕРМЕНТ"" (ООО Фирма ""ФЕРМЕНТ"")"
ChIJw9ft4PdRtUYRsswpUQHO18k;Гематек ООО
ChIJN5gYF1dJtUYROdS9xE_yuP0;Сибел-Центр ЗАО
;"ООО ""Фармстандарт-Фитофарм-НН"""
ChIJ4xjzpN1LtUYR7rOz674wlMY;Берлин-Хеми АГ/Менарини Групп
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Минскинтеркапс ПРУП
ChIJiWFCiZxJtUYRcdoLCvJq6PY;Красная Звезда ХФЗ ОАО
ChIJ92MikZxJtUYRXfZmj1F9DXw;"ПАО ""Химико-фармацевтический завод ""Красная Звезда"""
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;"OОО ""Рузам-М"""
;Ичанг Сэнксиа Фармасьютикал Ко.Лтд
;Синтеко С.п.А.
;Флеминг Лабораториз Лимитед
ChIJ2QSFQgNLtUYRRQ39SoWIDVU;Красноярский завод цветных металлов имени В.Н.Гулидова ОАО
ChIJvQnrW6JNtUYRwjt0F_xZ-Zw;Гомеопатическая фармация ООО
;"ООО ""Гомеопатическая фармация"" (ООО ""Гомеофарм"")"
;"Представительство Частной компании с ограниченной ответственностью ""Би-Си ФАРМА Б.В."""
;Норс Чайна Фармасьютикал Хуашен Ко., Лтд
;Фармспирт ПФК ООО
ChIJgzP78jW1SkERVIuHRD_N3NU;Плива-Лахема АО
;Биомедицинская корпорация Калипте
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Розфарм ООО
ChIJ_UUnnlortUYRg80Y4wMgJ80;Випс-Мед Фирма ООО
;Симен Лабораторис
ChIJTyK6ImA5tUYRQLQBzlUGo5Q;"ОАО ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез"" (ОАО ""Синтез"")"
ChIJLfIUHHlMtUYRTyHQtSK1ZwU;"НИИ ядерной физики ФГНУ (""НИИ ЯФ"" ФГНУ)"
;Джубилант Лайф Сайэнсис Лимитед
ChIJl4iGdHI1tUYRPpuMLBy-t98;Верофарм ОАО [Белгород]
;Фармстандарт-Томскхимфарм ОАО [Томск, пр.Ленина]
;Новамед Лтд
ChIJudJR0Bs4tUYRZV2jHYvMeJU;Ф.Хоффманн-Ля Рош Лтд.
;Кемейт Файн Кемикалс Лтд, на производственных площадях Зеянг Хайсор Фармацевтикал Ко.Лтд
ChIJf5WJuQNLtUYR53XHU6jH9zM;Актавис АО
;Лабораторио Кимико Интернасьонале С.п.А.
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Олон С.п.А.
;Фармацевтическая компания Хербапекс (групп) Ко.Лтд
ChIJYYbncjxItUYRJejSMLCpcUY;Фармацевтическая компания Хербапекс (групп) Ко. Лтд
;Шанхайская фармацевтическая компания Хербапекс (групп) провинции Ляонин Ко. Лтд
ChIJVVVlpAJItUYRmF7ec3ljIjY;Альтфарм ООО
ChIJmdggAvNKtUYRgJ8M1e74Gfs;НИФХИ им.Л.Я.Карпова ФГУП
ChIJQfKgeJ1MtUYRLq6ZOMSCko4;Фарм-Синтез ЗАО
;Интерхим ОАО совместное Украинско-Бельгийское химическое предприятие
ChIJbShggKy1SkERnOYCir1_4oE;"АО ""ХФЗ ""Здравле-Лесковац"""
ChIJR0BzjSVKtUYRH4_C6aAlKYk;Безен Интернасьональ Бельгия
;Безен Мэньюфекчуринг Белджиум
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)"
ChIJ082evx9LtUYRfteuOWQcgD8;Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития Российской Федерации (ФГУП «НПО «Микроген» Минздравсоцразвития России)
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген»  Министерства здравоохранения и социального развития Российской Федерации (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)"
ChIJo8Oi2ApNtUYRBHSUceApjh4;Люпин Лтд
ChIJo8Oi2ApNtUYRBHSUceApjh4;Люпин Лтд.
ChIJRyy2-nxKtUYRr2meqfHJvpw;Лайка Лэбс Лимитед
;Бейцзин Тобиши Фармасьютикал Ко. Лтд.
;"Совместное японско-китайское предприятие ""Пекинская фармацевтическая компания Тобиши Ко.Лтд"""
ChIJ4Q-C2dFLtUYRQeifsxMkPkY;Лаборатории Бушара-Рекордати
;"РУП ""Борисовский завод медицинских препаратов"""
;Марбиофарм ОАО
ChIJk8hJYMHKSkERNiFFZDkFexw;ЦНИИ эпидемиологии Федеральной службы Роспотребнадзора
ChIJrybe6-dKtUYRzLFutFZe3vE;Астеллас Фарма ГмбХ
;"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Фармаклон"""
ChIJZfzKNt47tUYRDfUKolOde8Y;Цитомед медико-биологический научно-производственный комплекс ЗАО
ChIJgwZNU80-tUYRehRWPzzY7Ds;Фармацевтические технологии ООО []
;Эл Джи Лайф Саенсис Лтд
ChIJFTe2CNdOtUYR_1_DfdlVkzs;Институт новых медицинских технологий ЗАО
ChIJFTe2CNdOtUYR_1_DfdlVkzs;"ЗАО ""Институт новых медицинских технологий"""
ChIJZfzKNt47tUYRDfUKolOde8Y;"ЗАО ""Медико-биологический научно-производственный комплекс ""Цитомед"""
ChIJp-ivQzO1SkERD45vqXVOI_Q;Макиз-Фарма ЗАО
ChIJDYKyBS9NtUYRrp8Igx2DR8E;"ЗАО ""Завод редких металлов"""
ChIJ6zAdFaY2tUYRo2YlwzFkya4;Гомеопатический медико-социальный центр ООО
ChIJqVjuv-I0tUYR24VQf6E9RMM;Ист-Фарм ЗАО
;Тева Чешские Предприятия с.р.о.
ChIJp-ivQzO1SkERD45vqXVOI_Q;Скопинский фармацевтический завод ЗАО
;Цзянси Юэхуа Фармасьютикал Ко., Лтд
ChIJM-6Y9VC0SkERGkvjZC26OqA;Др.Тайсс Натурварен ГмбХ
;Ляньюньган Гуйюань Хемфарм Ко.Лтд
ChIJgTkLbY85tUYRjy6a50nTqAQ;"ОАО ""Фармстандарт-Уфимский витаминный завод"""
;Биосин Арцнаймиттель ГмбХ
;Орфа Девел Хэнделс-унд Вертриебс ГмбХ
;Нордмарк Арцнаймиттель ГмбХ & Ко.КГ
;Бутс Хелскэр Интернешнл
;Чжэцзян Хуахай Фармасьютикал Ко.Лтд
;СКД Био Корпорация
ChIJeyXkadG0SkERE9yDoTtkaEE;Биологише Хайльмиттель Хеель ГмбХ
ChIJ4xjzpN1LtUYR0ZlLBxiSWAc;Эли Лилли энд Компани Лимитед
ChIJCaSdfB9LtUYRj5IGHij5VA0;Рош Диагностикс ГмбХ
ChIJ72hdEKezSkER1d47m2UtWOc;Инфамед ЗАО
ChIJ72hdEKezSkER1d47m2UtWOc;"ЗАО ""Инфамед"""
;Шанхай Хуа Лиан Фармасьютикал Ко.Лтд
ChIJsTKzKLxOtUYRnksEMjmO1u8;Эгис Фармацевтический завод А.О.
ChIJeylDCJE8tUYR_bd-eOr_qAc;Цитолекс НПФЦ ЗАО
ChIJh4gim8tMtUYR_kFeXxqHgtQ;Тринита НПП ЗАО
;Сучжоу Данрайс Фармасьютикал Ко. Лтд
;Дж.Амфрей Лабораториз
;Киевмедпрепарат ОАО
;Накода Кемикалз Лимитед
;Салютас Фарма ГмбХ
ChIJBW-HVze1SkERmWo9580bjhU;Технолог СКТБ ФГУП
;Витале-ХД ТОО
;Сперко Украина СП
;К.О.Фабиол АО
ChIJNaQzZUtStUYRKqSMbnCkSZg;Мир-Фарм ООО [Обнинск]
ChIJn4MADSRGtUYRkpti9eVzysk;Пранафарм ООО
;Лок-Бета Фармасьютикалс (I) Пвт.Лтд.
;Лок-Бета Фармасьютикалс (I) Пвт. Лтд
;Био Сидус С.А.
;Биоиберика С.А.
;Гуна С.р.Л.
;Альфа Омега С.р.Л.
ChIJY83Q7CrTSkER4MHnT6ofxlc;"ОАО ""Валента Фармацевтика"""
ChIJHTRqI8LKSkERuw4Luplp0K0;Свердловская областная станция переливания крови ГУЗ
ChIJHTRqI8LKSkERuw4Luplp0K0;Тамбовская областная станция переливания крови ГУЗ
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;СТИ-Мед-Сорб ОАО
;Дишман Фармасьютикалс энд Кемикалс Лимитед
;Янчжоу Фармасьютикал Ко.Лтд
ChIJF-Pu0AhKtUYRMRDoV0f0WPI;АЛСИ Фарма ЗАО [г.Москва]
;Серум Инститьют оф Индия Лтд
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ЗАО ""Гедеон Рихтер-РУС"""
;Медико-биологический союз ЗАО
ChIJqVjuv-I0tUYR24VQf6E9RMM;"Закрытое акционерное общество ""ИСТ-ФАРМ"""
ChIJHTRqI8LKSkERuw4Luplp0K0;Станция переливания крови г. Рубцовска ГУЗ
;Эли Лилли Нидерленд Б.В.
;Шенжен Ориентал Фармасьютикал Ко.Лтд
;Борюнг Фармасьютикал Ко.Лтд
;Биеффе Медитал С.А.
ChIJT7_H2zxItUYRdRNdSWE6NK4;Бакстер С.Л.
;"ООО ""МагикФарм"""
ChIJSxa40iFLtUYRt4qiPG6IDbU;ГЛЕНМАРК ФАРМАСЬЮТИКАЛЗ ЛТД.
ChIJXzhChTxItUYRrZLAAkdQf_c;Берингер Ингельхайм Фарма ГмбХ и Ко.КГ
;"Открытое акционерное общесто Научно-производственный концерн ""ЭСКОМ"""
ChIJl4iGdHI1tUYRPpuMLBy-t98;Верофарм ЗАО
ChIJd5FhiKNMtUYRU3Znw-_lbos;"ООО ""Актиния"""
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским  иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России), Россия"
;Ферринг АБ
;Авентис Фарма Дойчланд ГмбХ
;Хенан Лихуа Фармасьютикал Ко.Лтд
;БАСФ Корпорейшн
ChIJhZzA0A9LtUYRKNy2RR6u9uA;Шрея Лайф Саенсиз Пвт. Лтд.
ChIJv0ojWa9NtUYRJWYgD1dUCJY;Арменикум+ ЗАО
ChIJ4eb26DpKtUYRcXW-XP4jE1Y;"ООО ""Вета-Гранд"""
ChIJvTdL7u1MtUYR401N-nauPxk;Ядран Галенский Лабораторий АО
ChIJjXegpW82tUYR_bqQYsvu1nA;Биотэк МФПДК ЗАО
;Висмут НКПТФ ООО
ChIJO9tdzS5KtUYRiJfVDt3WQi4;Технопарк-Центр ООО
ChIJO9tdzS5KtUYRiJfVDt3WQi4;"Общество с ограниченной ответсвенностью ""Технопарк-Центр"" (ООО ""Технопарк-Центр"")"
;Челябинская областная станция переливания крови ОГУП
ChIJ21Phg59NtUYREiKY3ONUP1g;Новосибирский испытательный центр ЗАО
;Иннодженетикс Н.В.
;Ай Си Эн Фармасьютикалз Швейцария Лтд
;Киевский витаминный завод ЗАО
ChIJSXH0pC1KtUYR2rrLQr9T7jo;Эллара МЦ ООО
ChIJSXH0pC1KtUYR2rrLQr9T7jo;"ООО МЦ ""Эллара"""
ChIJgTkLbY85tUYRjy6a50nTqAQ;Фармстандарт-Октябрь ОАО
ChIJSefogZhLtUYRt0-leiY5nVo;"Общество с ограниченной ответственностью ""Такеда Фармасьютикалс"" (ООО ""Такеда Фармасьютикалс"")"
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Никомед Дистрибьюшн Сентэ ООО
ChIJdc7WB2uzSkERpAE4Y-RSKqI;Ципла Лтд.
ChIJtfmJlfeySkERM8quumUoRUA;Вёрваг Фарма ГмбХ и Ко.КГ
ChIJtfmJlfeySkERM8quumUoRUA;Верваг Фарма ГмбХ и Ко.КГ
;Бейджинг Тайанг Фармасьютикал Индастри Ко.Лтд
;Гутянь Фусин Фармасьютикал Ко.Лтд
;АВС Фармацойтичи С.п.А. (Отделение Юнибиос)
ChIJpR5k30pKtUYRZoo051Nr5mE;Фармаклон НПП ООО
ChIJ7ewtEABHtUYRsGxVgMFa83M;"ЗАО ""Аптеки 36.6"""
ChIJBQtckcJLtUYRUBV3s1BOX5A;Аптеки 36.6 ЗАО
ChIJn5ei5fxMtUYRXaS5cgWZtjo;"ЗАО ""Аптеки 36,6"""
;Хай Тэк Фарм. Ко.Лтд
;Ханми Файн Кемикал Ко.Лтд
ChIJ380aAk1ItUYRx2xyZEUYepk;Хай Тех Фарм. Ко.Лтд
;Сандоз Индастриал Продактс ГмбХ
ChIJY_t-t19ItUYRig38PN5CcNg;"Государственное учреждение НИИ эпидемиологии и микробиологии им.Н.Ф.Гамалеи РАМН (филиал ""Медгамал"" ГУ НИИЭМ им.Н.Ф.Гамалеи РАМН)"
;Янтай Бейфанг Фармасьютикал Ко.Лтд
;"Открытое акционерное общество""Муромский приборостроительный завод"" (ОАО""МПЗ"")"
;Чжецзян Катайя Интернейшнл Ко.Лтд
;Предприятие по производству диагностических препаратов ООО
;Юнимарк Ремедис Лтд
ChIJBb2QJkBNtUYRIcVoSdHPxx8;Пептек ЗАО
ChIJBb2QJkBNtUYRIcVoSdHPxx8;"ЗАО ""Пептек"""
ChIJBb2QJkBNtUYRIcVoSdHPxx8;"АО ""Пептек"""
;"Закрытое акционерное общество ""Мастерклон"""
ChIJW2aYAaQ1tUYRGG9l6pmAs9I;Талион-А ООО
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Центр клинической фармакологии и фармакотерапии
ChIJfc2KK7qtSkERmQNGKtfCpNU;Вилар ПЭЗ ГУП
;"ОАО ""Фармсинтез"" [Ленинградская обл.]"
;Куньшань Гуоли Медикал энд Кемикал Ко.Лтд
ChIJRyy2-nxKtUYRr2meqfHJvpw;Шварц Фарма АГ
;НИ лаборатория иммунохимиотерапии лепры и иммунотропных средств с клиникой и опытно-экспериментальным производством Федерального агенства по здравоохранению и социальному развитию
ChIJ98uRSrhMtUYR2XDNr6N-2Y0;ВетПром АД
;Лаборатория Филаксис С.А.
;Наньцзин Байцзинюй Фармасьютикал Ко.Лтд
;Пен Тсао Кемикал энд Фармацеутикал Индустри Ко.Лтд
ChIJvTdL7u1MtUYR401N-nauPxk;АО ЯДРАН Галенский Лабораторий
ChIJvTdL7u1MtUYR401N-nauPxk;"АО ""Ядран"" Галенский Лабораторий"
ChIJmRz3TEdKtUYRluyPDuMFaLM;"Юник Фармасьютикал Лабораториз (Отделение фирмы ""Дж.Б.Кемикалс энд Фармасьютикалс Лтд"")"
;Аджанта Фарма Лтд
ChIJR9RRQGhKtUYRfVV95jPedmg;Орхид Кемикалс энд Фармасьютикалс Лтд
ChIJS2Wrvu81tUYRyIaKMp8qljA;Кенгбо Фармацевтикал Ко.Лтд
ChIJWbSk5hs4tUYR9ffK0tp0snk;Мерк КГаА и Ко
;Мерк КГаА и Ко. Верк Шпитталь
ChIJZRSNiylLtUYRUsXu7lyR198;Родиа Органик
;"ООО ""Гематек"""
ChIJieZTUhNKtUYRlHpcqUkqDTE;Питательные среды НПП ООО
;Разак Лэбораториз Инк
ChIJoQoEejBNtUYRRBUuwmAtndY;"ЗАО ""НПК ЭХО"""
ChIJf5WJuQNLtUYR53XHU6jH9zM;"АО ""Актавис"""
;Чжецзян Саньмен Каннин Кемикал Ко.Лтд
;Карагандинский фармацевтический завод ТОО
;"""Карагандинский фармацевтический комплекс"" ТОО"
;Камбрекс Корк Лтд
;Диффукап Еуранд
ChIJWSvM4I0xtUYRa2CAZJ0oOlA;Исида ООО
ChIJWSvM4I0xtUYRa2CAZJ0oOlA;"ООО ""Исида"""
ChIJZZKESLvKSkERzEvw23nMaR8;Флавир ООО
ChIJ553K2LZEtUYRhzbykHhrmtA;"ООО Фирма ""ФЕРМЕНТ"""
;Др.Каде Фармацевтическая Фабрика ГмбХ
;Др.Каде фармацевтическая фабрика ГмбХ
ChIJi9W-h1pKtUYRk3A2TDvvZa4;Ли Фарма Лимитед
;Реплекфарм АО
;Фармацевтическая фабрика ГКП [Житомир]
ChIJ44yfOVNUNUERU61wdaFJGV4;Рус Фарм Продукт ООО
ChIJe8doMfVItUYRhbRqcbXCttQ;Медрадиопрепарат завод ФГУП ФМБА России
;"Завод ""Медрадиопрепарат"" филиал Федерального государственного предприятия ""Федеральный центр по проектированию и развитию объектов ядерной медицины"" Федерального медико-биологического агенства России"
;Яманучи Юроп Б.В.
ChIJCX5vpGpNtUYRL9W72vihwO4;Био Фарм ООО
;Н.В.Органон
ChIJ4fyz2bNLtUYRT37KnmZUJJc;"ООО ""Научно-исследовательский институт Медицины и стандартизации"""
;Цилу Антибиотикс Фармасьютикал Ко.Лтд
ChIJE0sVthA1tUYReV3aNniZTi4;Техномедсервис ФП ЗАО
ChIJpbhK4mBStUYROadxJ2TQvmg;"АО ""Биофарм"""
ChIJ26B5Wb5KtUYRGp76xU7Fhl8;"""Медокеми Лтд."""
ChIJi0hOjQpKtUYRNL-Tg0RQXsc;Мастелли С.р.Л.
ChIJBcgZYB1ItUYRXqp8400jxUs;"Закрытое акционерное общество ""Иммуно-Гем"""
ChIJKbMvnyhNtUYRPm33FHCRqfM;Национальная Исследовательская Компания ООО
ChIJhct5PsdLtUYRfN1shW1uuh8;Юник Кемикалс (отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд)
;Джинтан Жонгксинг Фармасьютикал энд Кемикал Ко., Лтд.
;Ксиньхуа Фарма Кемикал Ко.Лтд, Хуангуанг Жейджиянг
;ЮС Фармация ООО
;Чжэцзян Тяньсинь Фармасьютикал Ко.Лтд
;"Общество с дополнительной ответственностью ""ИНТЕРХИМ"""
;"ООО ""ПОЛЛО"""
;Вухан Вуиао Фармасьютикал Ко.Лтд
;Ростовский НИИ микробиологии и паразитологии Роспотребнадзора ФГУН
ChIJ26B5Wb5KtUYRGp76xU7Fhl8;Промед Экспортс Пвт. Лтд.
ChIJHy7zmMJKtUYRXLiQYIAPoyM;Пфайзер ГмбХ
ChIJrxSJ8lSzSkERwEOJjGD1eM0;Хант-Холдинг ООО
ChIJHylW4w4VtUYRg9FRkm9eHv8;Доза ФП ООО
;"ООО ""Научно-производственная фирма ""КЕМ"""
ChIJe9pHkFRJtUYRsf_nujK9GQ0;Константа-Фарм М ООО
;Глохем Индастриес Лтд
;БАСФ Хелз энд Ньютришен АС
;Нанджинг Форейн Экономик энд Трейд Девелопмент Ко.,Лтд.
;Ионезава Хамари Кемикалз Лтд
ChIJZwNLbsJJtUYR2T22HvtkgMg;Гематологический научный центр РАМН Учреждение
ChIJZwNLbsJJtUYR2T22HvtkgMg;"Федеральное государственное бюджетное учреждение ""Гематологический научный центр"" Министерства  здравоохранения и социального развития Российской Федерации"
ChIJZwNLbsJJtUYR2T22HvtkgMg;"Федеральное государственное бюджетное учреждение ""Национальный медицинский исследовательский центр гематологии"" Министерства здравоохранения Российской Федерации (ФГБУ ""НМИЦ гематологии"" Минздрава России)"
ChIJteSYs7FLtUYRN4RzNBJ2P1s;Замбон Свитцерланд Лтд
