place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;"АО ""КРКА, д.д., Ново место"""
;Фрезениус Медикал Кеа Дойчланд ГмбХ
;"Федеральное казенное предприятие ""Армавирская биологическая фабрика"" (ФКП ""Армавирская биофабрика"")"
;"Федеральное государственное унитарное предприятие ""Армавирская биологическая фабрика"""
ChIJI0J6gWtKtUYR1IbyoUvzNeI;Лаборатории Майоли Спиндлер
ChIJI0J6gWtKtUYR1IbyoUvzNeI;Майоли Спиндлер Лабораториз
ChIJd6COwHJNtUYRuWgi5sNziCk;Вокхард Лтд., Индия
ChIJydtP0a5MtUYRvaTk_uo0weY;Аджио Фармацевтикалз Лтд
ChIJ30Hy2PtOtUYRwCnaSntJXBw;К.О. Ромфарм Компани С.Р.Л.
ChIJ30Hy2PtOtUYRwCnaSntJXBw;К.О.Ромфарм Компани С.р.Л.
ChIJ30Hy2PtOtUYRwCnaSntJXBw;К.О.Ромфарм Компани С.Р.Л.
ChIJRxMHmr1LtUYRdsIccQ5Jgrs;Эксэлтис Хелскеа С.Л.
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Эмбил Илач Сан. Лтд. Шти
ChIJc7BjExdLtUYRA4o6nc3PUr0;Эмбил Фармацеутикал Ко.Лтд
ChIJYzPv99tLtUYRalBsxwU0Yuo;ЮСБ Фарма С.А.
ChIJjc6eUNSvSkERr9bN11bL2f8;"ООО ""АБОЛмед"""
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер Шеринг Фарма АГ
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер Фарма АГ
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер АГ
;ОПК Биотех ЛЛС
ChIJceyUBiNKtUYRyJmP0fAAc-k;Кревель Мойзельбах ГмбХ
ChIJz0wKvftKtUYRE6bn6S4LM_s;Д-р Редди'с Лабораторис Лтд
ChIJz0wKvftKtUYRE6bn6S4LM_s;Д-р Редди`с Лабораторис Лтд
;"ОАО ""Кемеровская фармацевтическая фабрика"""
;Актавис Групп ПТС ехф
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"ООО ""Натива"""
ChIJ1Xij55IxtUYROT8klIGiRTg;"ЗАО ""Биоком"""
ChIJzSyBc3pKtUYR5JnmjB_yoAk;"ООО ""ПИК-ФАРМА"""
ChIJzSyBc3pKtUYR5JnmjB_yoAk;"Общество с ограниченной ответственностью ""ПИК-ФАРМА"" (ООО ""ПИК-ФАРМА"")"
ChIJcQHwynBKtUYReN98gOfg0fQ;"ООО ""Омела"""
;"Республиканское унитарное производственное предприятие ""Белмедпрепараты"" (РУП ""Белмедпрепараты"")"
ChIJ6XDCYZZLtUYRvlYlAN8f6GQ;Фрезениус Каби Дойчланд ГмбХ
;"""Адифарм""ЕАД"
ChIJ-xwVCQxMtUYR3b3rG1yjJbw;Адифарм ЕАД
ChIJdc7WB2uzSkERpAE4Y-RSKqI;"ООО ""Протек-СВМ"""
ChIJCypTg2RKtUYRI-eS-PnJzYw;"Общество с ограниченной ответственностью ""ПРОТЕК-СВМ"" (ООО ""ПРОТЕК-СВМ"")"
;М.Дж. Биофарм Пвт. Лтд.
;М.Дж.Биофарм Пвт.Лтд
;"ФГУП ""Армавирская биологическая фабрика"""
;"Федеральное казённое предприятие ""Армавирская биологическая фабрика"""
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд.
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд
ChIJu4nq5OHPSkERVN5v6SzNWAI;Открытое акционерное общество «Химико-фармацевтический комбинат «АКРИХИН» (ОАО «АКРИХИН»)
ChIJu4nq5OHPSkERVN5v6SzNWAI;"Открытое акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"""
ChIJ_UUnnlortUYRg80Y4wMgJ80;"ООО ""Фирма ""ВИПС-МЕД"""
ChIJBwmA5a5LtUYRr3I72lqEAvU;Орион Корпорейшн Орион Фарма
;Кларис Лайфсайнсиз Лимитед
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Кларис Оцука Прайвит Лимитед
ChIJAYNGsG5MtUYRKIQegK7V9Q4;"ООО ""Лек С+"""
ChIJeySiq2RKtUYRjpvXVixFYpc;Лаборатория Буарон
ChIJeySiq2RKtUYRjpvXVixFYpc;Буарон
ChIJeySiq2RKtUYRjpvXVixFYpc;БУАРОН
ChIJTyK6ImA5tUYRQLQBzlUGo5Q;"Открытое акционерное общество ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез"" (ОАО ""Синтез"")"
ChIJTyK6ImA5tUYRQLQBzlUGo5Q;"Открытое акционерное общество ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез"""
ChIJcxfWBLRLtUYRUD7iIwIA3TM;Ферринг АГ
;"Республиканское Унитарное Производственное Предприятие ""Белмедпрепараты""(РУП ""Белмедпрепараты"")"
ChIJm-cMzrhLtUYRXMTQxK4KaM0;Мерк Шарп и Доум Б.В., Нидерланды
ChIJm-cMzrhLtUYRXMTQxK4KaM0;Мерк Шарп и Доум Б.В.
ChIJfdyTdHdNtUYRuB5wocZg_BA;Роутек Лтд
ChIJfdyTdHdNtUYRuB5wocZg_BA;Роутек Лимитед
ChIJsygL9UIUtUYRsYlUQqhOn8U;"ЗАО ""Производственная фармацевтическая компания Обновление"""
;"Закрытое акционерное общество ""Производственная фармацевтическая компания ""Обновление"""
;"ЗАО ""Производственная фармацевтическая компания ""Обновление"" (ЗАО ""ПФК ""Обновление"")"
ChIJsygL9UIUtUYRsYlUQqhOn8U;"Закрытое акционерное общество ""Биннофарм"""
ChIJsygL9UIUtUYRsYlUQqhOn8U;"Акционерное общество ""Биннофарм"" (АО ""Биннофарм"")"
;Лабораториос Баго С.А.
ChIJp4q1IRNLtUYRf8uZUhOrFeI;"Общество с ограниченной ответственностью ""Валеант"""
ChIJC9qlt9MstUYRmvj5LMf-JFY;"Закрытое акционерное общество ""Канонфарма продакшн"""
ChIJC9qlt9MstUYRmvj5LMf-JFY;"Закрытое акционерное общество ""Канонфарма продакшн"" (ЗАО ""Канонфарма продакшн"")"
ChIJAQDMt-NKtUYRM4Emp4K--ZI;Санофи-Авентис
ChIJN5niGMw3tUYRBb895tvqGIM;"ООО ""Фармацевтическая компания ""Здоровье"""
ChIJYeChugRStUYRGFf9Cm5ndhY;"ООО ""Виал"""
ChIJYeChugRStUYRGFf9Cm5ndhY;"ООО ""ВИАЛ"""
;"РУП ""Белмедпрепараты"""
ChIJ4-Ay-9pNtUYRqAtOS1OnNv8;"ЗАО ""КОРАЛ-МЕД"""
ChIJs60Km8KtSkERvG2zW1VWZuw;"Закрытое акционерное общество ""Иван-Чай"" (ЗАО ""Иван-Чай"")"
ChIJrwgEmTxItUYRUYtqLG6ypAU;"ООО ""Проктер энд Гэмбл Дистрибьюторская компания"""
ChIJgTkLbY85tUYRjy6a50nTqAQ;"ОАО ""Фармстандарт-УфаВИТА"""
;"Открытое акционерное общество ""Отисифарм"""
ChIJDQV3Bo85tUYRQEG2NjR2PIQ;"Публичное акционерное общество ""Отисифарм"""
ChIJ9ZYG-qE2tUYR3nk-TKZBYZI;"Закрытое акционерное общество ""Вертекс"""
ChIJK4ELVNtNtUYRjlNFkPzgOFg;"Закрытое акционерное общество ""ВЕРТЕКС"" (ЗАО ""ВЕРТЕКС"")"
ChIJ9ZYG-qE2tUYR3nk-TKZBYZI;"Акционерное общество ""ВЕРТЕКС"" (АО ""ВЕРТЕКС"")"
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм"""
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Открытое акционерное общество ""Фармстандарт-Лексредства"" (ОАО ""Фармстандарт-Лексредства"")"
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Открытое акционерное общество ""Фармстандарт-Лексредства"""
;Фами Кэр Лимитед
;Фами Кер Лимитед
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Майлен Лабораториз Лимитед
;"Общество с ограниченной ответственностью ""Акафарм"" (ООО ""Акафарм"")"
ChIJe_0Uoc9ItUYRcRTP3lm7PSQ;"ООО ""Джонсон & Джонсон"""
;Шайер Фармасьютикалс Айерленд Лтд
ChIJQ4S7OhE1tUYRsayopXzdjU4;"АО ""Фармацевтическое предприятие ""Оболенское"""
ChIJveVS7eFKtUYRdVWjQEI-UOk;Новартис Фарма АГ
;"Открытое акционерное общество ""Флора Кавказа"""
;"Открытое акционерное общество ""Флора Кавказа"" (ОАО ""Флора Кавказа"")"
;"Общество с ограниченной ответственностью ""АБОЛмед"""
ChIJi9W-h1pKtUYRVjry2w6zFLA;Керн Фарма С.Л.
;"Общество с ограниченной ответственностью ""Альтфарм"" (ООО ""Альтфарм"")"
;Байер Консьюмер Кэр АГ
;Штайгервальд Арцнеймиттельверк ГмбХ
;"ОАО Научно-производственный концерн ""ЭСКОМ"""
ChIJsQrpg-dKtUYR-HoJoprREHs;"Открытое акционерное общество ""Красфарма"" (ОАО ""Красфарма"")"
ChIJ_5nO4RRLtUYRgKPSs_37TYk;Протина Фармацеутише ГмбХ
ChIJbZ0EMSZGtUYRSr3NOkxTHmM;"ЗАО ""Берёзовский фармацевтический завод"""
;"Закрытое акционерное общество ""Березовский фармацевтический завод"""
;"Закрытое акционерное общество ""Березовский фармацевтический завод"" (ЗАО ""БФЗ"")"
ChIJE-dmpWVKtUYRkCPgEhB5toQ;Ферросан А/С
;Санофи-Синтелабо Вьетнам Фармасьютикал Шарехолдинг Компани
ChIJY5alyXk2tUYRlxyBZb2_pAM;Ранбакси Лабораториз Лтд
ChIJuVwAaImtSkERpnQslgUctuA;"ООО ""Озон"""
ChIJQciYlIBKtUYRgc7hMvgEKoY;"Общество с ограниченной ответственностью ""Озон"" (ООО ""Озон"")"
ChIJQciYlIBKtUYRgc7hMvgEKoY;"Общество с ограниченной ответственностью ""Озон"""
ChIJT7_H2zxItUYR1N1ini-eKuY;Эбботт ГмбХ и Ко.КГ
;"Общество с ограниченной ответственностью ""ЭббВи"""
ChIJafQvE983tUYRPbvjlUgEH3o;"Закрытое акционерное  общество ""Московская фармацевтическая фабрика"" (ЗАО ""Московская фармацевтическая фабрика"")"
ChIJ9aEgpdA3tUYRNaM14QsR7MY;Лекарь ООО
ChIJa6MoFk2pSkERhd0EiKEkgaw;"Общество с ограниченной ответственностью ""Лекарь"" (ООО ""Лекарь"")"
;ИБСА Институт Биокимик С.А.
;"ОАО ""Кировская фармацевтическая фабрика"""
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз д.д.
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз д.д
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Софарма АО
ChIJA51Vz0BNtUYRMD7usBUCauk;"АО ""Софарма"""
ChIJswjg3NpMtUYRgkjh7DWTyws;Плива Хрватска д.о.о.
;Хэндок Инк.
ChIJAQDMt-NKtUYRM4Emp4K--ZI;"Акционерное Общество ""Санофи-авентис груп"""
ChIJAQDMt-NKtUYRM4Emp4K--ZI;"АО ""Санофи-авентис груп"""
;Хэндок Фармасьютикалс Ко.Лтд
ChIJsygL9UIUtUYRsYlUQqhOn8U;"ЗАО ""Биннофарм"""
ChIJ4xjzpN1LtUYR0ZlLBxiSWAc;"АО ""Эли Лилли Восток С.А."""
ChIJ4xjzpN1LtUYR0ZlLBxiSWAc;Эли Лилли Восток С.А.
ChIJsygL9UIUtUYRsYlUQqhOn8U;"Акционерное общество ""Биннофарм"""
