place_id;place_was_nullated;place_no_end;place_time;place_size;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJ53bpiXtLtUYRz3pcucix9QQ;1.0;1.0;;3;"ФГБУ науки ""Институт химии твердого тела и механохимии"" Сибирского отделения РАН (ИХТТМ СО РАН)"
ChIJ54jeSIhStUYRbcp8GS0QypM;0.0;0.0;1826.0;1;Бакстер С.А. де С.Б.
ChIJ553K2LZEtUYRhzbykHhrmtA;0.9545454545454546;0.8863636363636364;1826.0;30;Фермент Фирма ООО
ChIJ5S90l9lHtUYRQPEZB5y2zIY;1.0;0.6451612903225806;1826.5454545454545;31;Амджен Европа Б.В.
ChIJ5V0ZeAXASkERE6483URya6Y;0.71875;0.0;1826.0;17;Фармакон ОАО
ChIJ5XVxn8JKtUYRczn69jOkjv4;1.0;0.6458333333333334;1782.4375;56;Ипсен Фарма
ChIJ5XdS5rRLtUYRKHxBa11FM2M;1.0;0.4259259259259259;1826.1666666666667;12;Представительство АО Биокодекс
ChIJ5yWOikw2tUYR0PH3nvnsx2c;1.0;1.0;;1;Неовий Биотех ГмбХ
ChIJ5yzpDWHKSkERIxXsUvrW6Fw;1.0;0.4;1826.0;5;Славянская аптека ООО
ChIJ65qH_ec5tUYRyqbFA00vVqM;0.75;0.25;1826.3333333333333;4;Самарамедпром ОАО
ChIJ6SgS-INOtUYRVJ6GdctX8Pc;1.0;1.0;;1;"ЗАО ""Зеленоградское иммунобиологическое предприятие"" (ЗАО ""ЗИП"")"
ChIJ6VPxt6NLtUYR3XgwKqK4w34;0.9433523567956034;0.8114563517226802;1826.125;124;Реанал ЗАО
ChIJ6XDCYZZLtUYRvlYlAN8f6GQ;1.0;0.803030303030303;1792.8461538461538;100;Фрезениус Каби Дойчланд ГмбХ
ChIJ6XK8Q5tMtUYRByy52OL8xtg;1.0;1.0;;2;"ООО ""ПрофиФарм"""
ChIJ6XkfQkpItUYRuOThoB0di5g;1.0;1.0;;5;Олигофарм ООО
ChIJ6eS_I-a3SkERmG4fkNwuz-M;1.0;1.0;;1;"ООО ""Гирудо-Мед"""
ChIJ6fxJaaBNtUYR-b1q18cgn9A;1.0;1.0;;1;м
ChIJ6xIHYka1SkERc-eFU7L6eQE;0.9826086956521738;0.7751156153474443;1821.9263556008839;425;"ПАО ""Биосинтез"""
ChIJ6zAdFaY2tUYRo2YlwzFkya4;0.964625850340136;0.6234955520669807;1774.595238095238;73;Ярославская фармфабрика ЗАО
ChIJ7-g75qRLtUYRUmiPP4pO2nI;0.6111111111111112;0.29365079365079366;1323.6666666666667;15;Центр по химии лекарственных средств ФГУП (ЦХЛС-ВНИХФИ)
ChIJ70mdvUhMtUYRxhL6U89CfeI;0.6666666666666666;0.5;1826.5;5;Семруг республиканский НПЦ ЗАО
ChIJ72hdEKezSkER1d47m2UtWOc;1.0;0.9777777777777779;1826.0;18;"ООО ""Инфамед"""
ChIJ7THXLpA0tUYRIFfqe4HikkY;1.0;0.4;1826.0;5;"ООО ""Трим"""
ChIJ7UfpZbzKSkERdaoWQM5juzE;1.0;0.8333333333333333;1826.0;4;Фармацевт ООО
ChIJ7VhZP11KtUYRwV53b-MNJ4I;1.0;1.0;;1;Центральная аптека Федеральной службы безопасности РФ ФГУ
ChIJ7VhbMRawSkERuVgrOqbWz-A;1.0;1.0;;1;"ОАО ""Московский коксогазовый завод"""
ChIJ7Z7jPn82tUYRjbLVccw3LxQ;1.0;0.9876543209876543;1827.0;54;"Общество с ограниченной ответственностью ""Производственно-фармацевтическая компания ""Пребенд"" (ООО ""ПФК ""Пребенд"")"
ChIJ7_crvkZKtUYRQhWXhEIYxP8;1.0;0.0;1826.0;1;Искра Индустри Ко.Лтд
ChIJ7duiWYhHtUYRCMm0fy2zgT8;1.0;0.5714285714285714;1826.1666666666667;14;"ООО ""Валерия"""
ChIJ7ewtEABHtUYRsGxVgMFa83M;1.0;0.65;1826.0;20;"ЗАО ""Аптеки 36.6"""
ChIJ7fU_PlizSkERe58hTrE18iE;0.8464611872146118;0.5567898653857557;1822.8794314796426;237;"СОАО ""Ферейн"""
ChIJ7x641Wu0SkERlMJoMP09Pi8;1.0;0.0;1826.0;1;Рона ООО
ChIJ84SDy71LtUYRkJUs7Vkj2Mk;0.6785714285714286;0.5892857142857143;1826.3333333333333;37;Пьер Фабр Медикамент Продакшн
ChIJ85yfNbJMtUYRN66tPNPWETM;1.0;1.0;;33;Бионорика СЕ
ChIJ89412GU1tUYR_1lUZ3lrKAo;0.0;1.0;;1;Лек С - Фирма ООО
ChIJ8SMv9r01tUYR9yO1ZQb3F4I;1.0;0.5;1645.25;8;Фармакосмос А/С
ChIJ8YJJ5-NOtUYREcwexB-dBoE;1.0;1.0;;3;Десма ГмбХ
ChIJ8bC7hjxKtUYRd0SumLdmHhE;1.0;0.0;1826.0;2;НоваМедика ООО
ChIJ92MikZxJtUYRXfZmj1F9DXw;1.0;1.0;;1;"ПАО ""Химико-фармацевтический завод ""Красная Звезда"""
ChIJ98uRSrhMtUYR2XDNr6N-2Y0;1.0;0.25;1826.125;10;ВетПром АД
ChIJ9SRaL_VKtUYRHbLdHom1Ejg;1.0;1.0;;1;АЗАД Фарма АГ
ChIJ9Sy8AeHKSkER2Koegq87fno;0.75;0.5833333333333333;7773.0;5;Старт-Фито ООО
ChIJ9U2frUM0tUYRf6JtzAQZKlg;1.0;0.3333333333333333;1826.2;15;"Общество с ограниченной ответственностью ""Атолл"""
ChIJ9ZYG-qE2tUYR3nk-TKZBYZI;1.0;0.5778985507246377;1826.2652482269505;137;"Закрытое акционерное общество ""Вертекс"""
ChIJ9aEgpdA3tUYRNaM14QsR7MY;1.0;0.0;1826.0;1;Лекарь ООО
ChIJA0eVtyDQSkERGe7g1MFzr74;0.9444444444444445;0.6296296296296297;1826.0;21;"ОАО ""Завод химреактивкомплект"""
ChIJA51Vz0BNtUYRMD7usBUCauk;0.9459459459459459;0.6216216216216216;1826.142857142857;37;"АО ""Софарма"""
ChIJA7Ml72qzSkERbN4BJHMFihY;1.0;1.0;;21;"ООО ""АнвиЛаб"""
