place_id;Иностранцы;Россия;контрафактное ЛС;недоброкачественное ЛС;незарегистрированное ЛС;оригинальное ЛС;сомнительное ЛС;фальсифицированное ЛС;Партия;Брак поставщика (подтвержден);Брак производителя (изъятие без уничтожения);Брак производителя (партия);Брак производителя (территория);Брак производителя Россия;Изменение;Изъятие;Изъятие незарегистрированного ЛС;Изъятие по неподтвержденной декларации;Контрафакт;Незаконный ввоз;О переводе на предварительный контроль;Отзыв;Отзыв деклараций о соответствии;Отзыв производителем;Отзыв производителем (Ф/С);Отзыв производителем партии;Ошибка репортера;Прекращение обращения;Приостановление;Приостановление реализации;Разрешение (партия);Разрешение (серия);Разрешение реализации;Фальсификация;Фальсификация (изъятие по признакам);Фальсификация полное изъятие;Фальсификация приостановление;place_total_letters
ChIJ72hdEKezSkER1d47m2UtWOc;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
ChIJ7fU_PlizSkERe58hTrE18iE;0.02127659574468085;0.9787234042553191;0.0;0.8936170212765957;0.0;0.031914893617021274;0.07446808510638298;0.0;0.010638297872340425;0.0;0.010638297872340425;0.0;0.09574468085106383;0.11702127659574468;0.02127659574468085;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.13829787234042554;0.05319148936170213;0.3617021276595745;0.0;0.0;0.0;0.010638297872340425;0.07446808510638298;0.0851063829787234;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.010638297872340425;94.0
ChIJ84SDy71LtUYRkJUs7Vkj2Mk;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
ChIJ85yfNbJMtUYRN66tPNPWETM;1.0;0.0;0.0;0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
ChIJ89412GU1tUYR_1lUZ3lrKAo;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
ChIJ98uRSrhMtUYR2XDNr6N-2Y0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
ChIJ9Sy8AeHKSkER2Koegq87fno;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0
ChIJ9aEgpdA3tUYRNaM14QsR7MY;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.0;0.4444444444444444;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
ChIJA0eVtyDQSkERGe7g1MFzr74;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;2.0
ChIJA51Vz0BNtUYRMD7usBUCauk;1.0;0.0;0.0;0.8592592592592593;0.0;0.007407407407407408;0.13333333333333333;0.0;0.014814814814814815;0.0;0.0;0.0;0.02962962962962963;0.022222222222222223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3111111111111111;0.0;0.037037037037037035;0.0;0.0;0.0;0.18518518518518517;0.07407407407407407;0.22962962962962963;0.0;0.014814814814814815;0.007407407407407408;0.007407407407407408;0.06666666666666667;0.0;0.014814814814814815;135.0
ChIJAQAAAGdKtUYRLENRd5MZgUA;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
ChIJAQAAAGdKtUYRnnI4kQsRIaE;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
ChIJAQAAAJWoykYR53vRQHqkP_o;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
ChIJAQDMt-NKtUYRM4Emp4K--ZI;1.0;0.0;0.0;0.39436619718309857;0.0;0.4694835680751174;0.13615023474178403;0.0;0.004694835680751174;0.0;0.004694835680751174;0.0;0.19718309859154928;0.04225352112676056;0.056338028169014086;0.004694835680751174;0.0;0.0;0.004694835680751174;0.0;0.0;0.4694835680751174;0.018779342723004695;0.009389671361502348;0.0;0.0;0.0;0.0;0.03755868544600939;0.028169014084507043;0.0;0.03755868544600939;0.0;0.004694835680751174;0.023474178403755867;0.004694835680751174;0.056338028169014086;213.0
ChIJAYNGsG5MtUYRKIQegK7V9Q4;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.09090909090909091;0.09090909090909091;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;11.0
ChIJAYNGsG5MtUYRZwgIepfWna0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
ChIJAYNGsG5MtUYRppeZmBjxeA4;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
ChIJAayCoAs1tUYREMnAFDMSVXk;0.6129032258064516;0.3870967741935484;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03225806451612903;0.0;0.3870967741935484;0.12903225806451613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1935483870967742;0.06451612903225806;0.0;0.0;0.0;0.0;0.0;0.0;0.1935483870967742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0
