,name,"(0, 'place_id')",place_id
149,ОАО «Биохимик»,1,ChIJJffwVIhKtUYRT-zLp6JNoBI
150,государственное  учреждение  здравоохранения «Свердловская областная станция переливания крови»,1,ChIJHTRqI8LKSkERuw4Luplp0K0
151,"ОАО ""Нижегородский химико-фармацевтический завод""",1,ChIJmRlppFlKtUYRAYZL6rWs5gA
152,"ОАО ""Татхимфармпрепараты""",1,
153,"Акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"" (АО ""АКРИХИН""",1,ChIJu4nq5OHPSkERVN5v6SzNWAI
154,"ОАО НПФ ""Перфторан""",1,
155,"Закрытое акционерное общество ""Фарм-Синтез""",1,ChIJQfKgeJ1MtUYRLq6ZOMSCko4
156,"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")",1,ChIJQ4S7OhE1tUYRsayopXzdjU4
157,"Общество с ограниченной ответственностью ""Альтфарм""",1,
158,"Закрытое акционерное общество ""Ярославская фармацевтическая фабрика"" (ЗАО ""ЯФФ"")",1,
159,"Открытое акционерное общество ""ДАЛЬХИМФАРМ"" (ОАО ""ДАЛЬХИМФАРМ"")",1,ChIJeZc7yh21SkERx5trQmeTwnI
160,"ООО ""Производственная фармацевтическая компания ""Алиум""",1,
161,"Закрытое акционерное общество ""Медисорб""",1,
162,"Общество с ограниченной ответственностью ""ЛЭНС-Фарм""",1,ChIJl4iGdHI1tUYRPpuMLBy-t98
163,"ООО ""НПО Петровакс Фарм""",1,ChIJw6CGOPCxSkERZdlGuKq0HOk
164,"ОАО ""Холдинг ""Эдас""",1,ChIJNcBj9RpLtUYR6q3lMJqs76U
165,"Закрытое акционерное общество ""Фирма ""Витафарма""",1,
166,"Государственное учреждение здравоохранения ""Ивановская областная станция переливания крови""",1,ChIJHTRqI8LKSkERuw4Luplp0K0
167,"ООО ""Биосурф""",1,
168,"Общество с ограниченной ответственностью
 "" ПИК-ФАРМА"" (ООО ""ПИК-ФАРМА"")",1,ChIJzSyBc3pKtUYR5JnmjB_yoAk
169,"ОАО ""Биосинтез""",1,ChIJ6xIHYka1SkERc-eFU7L6eQE
170,"ЗАО ""Зеленая Дубрава""",1,ChIJw0jGtFC1SkERVe0FauPd_Mo
171,"Общество с ограниченной ответственостью ""Росбио""",1,
172,"ЗАО ""Вифитех""",1,ChIJN5t4CjesSkERQ1DK79U7f40
